sample	subtype	cell_type	gene	mean_expr	pct_positive	n_cells
GSM7324266_PT10.count.tsv.gz	PTC	Epithelial_tumor	ITGA2	6.263	58.0	410
GSM7324266_PT10.count.tsv.gz	PTC	Epithelial_tumor	ITGB1	8.471	83.2	410
GSM7324266_PT10.count.tsv.gz	PTC	Epithelial_tumor	FN1	195.124	79.5	410
GSM7324266_PT10.count.tsv.gz	PTC	Epithelial_tumor	CCND1	17.907	73.7	410
GSM7324266_PT10.count.tsv.gz	PTC	Fibroblast	ITGA2	0.222	12.3	81
GSM7324266_PT10.count.tsv.gz	PTC	Fibroblast	ITGB1	8.074	77.8	81
GSM7324266_PT10.count.tsv.gz	PTC	Fibroblast	FN1	68.963	79.0	81
GSM7324266_PT10.count.tsv.gz	PTC	Fibroblast	CCND1	1.753	44.4	81
GSM7324266_PT10.count.tsv.gz	PTC	Endothelial	ITGA2	0.9	43.4	498
GSM7324266_PT10.count.tsv.gz	PTC	Endothelial	ITGB1	5.464	81.5	498
GSM7324266_PT10.count.tsv.gz	PTC	Endothelial	FN1	2.677	65.3	498
GSM7324266_PT10.count.tsv.gz	PTC	Endothelial	CCND1	2.273	52.8	498
GSM7324266_PT10.count.tsv.gz	PTC	T_NK	ITGA2	0.024	2.2	2792
GSM7324266_PT10.count.tsv.gz	PTC	T_NK	ITGB1	1.477	66.0	2792
GSM7324266_PT10.count.tsv.gz	PTC	T_NK	FN1	0.552	38.2	2792
GSM7324266_PT10.count.tsv.gz	PTC	T_NK	CCND1	0.066	5.6	2792
GSM7324266_PT10.count.tsv.gz	PTC	B_cell	ITGA2	0	0.0	118
GSM7324266_PT10.count.tsv.gz	PTC	B_cell	ITGB1	1.203	49.2	118
GSM7324266_PT10.count.tsv.gz	PTC	B_cell	FN1	0.322	24.6	118
GSM7324266_PT10.count.tsv.gz	PTC	B_cell	CCND1	0.051	5.1	118
GSM7324266_PT10.count.tsv.gz	PTC	Myeloid	ITGA2	0.052	3.0	500
GSM7324266_PT10.count.tsv.gz	PTC	Myeloid	ITGB1	2.768	79.2	500
GSM7324266_PT10.count.tsv.gz	PTC	Myeloid	FN1	5.784	54.0	500
GSM7324266_PT10.count.tsv.gz	PTC	Myeloid	CCND1	0.588	28.6	500
GSM7324266_PT10.count.tsv.gz	PTC	SMC_pericyte	ITGA2	0.017	1.7	173
GSM7324266_PT10.count.tsv.gz	PTC	SMC_pericyte	ITGB1	7.532	82.7	173
GSM7324266_PT10.count.tsv.gz	PTC	SMC_pericyte	FN1	14.376	80.9	173
GSM7324266_PT10.count.tsv.gz	PTC	SMC_pericyte	CCND1	2.815	60.7	173
GSM7324266_PT10.count.tsv.gz	PTC	Mast	ITGA2	0.052	5.2	97
