sample	condition	source
GTEX-OHPL-2626-SM-2HMJA	Normal	GTEx
GTEX-YEC3-0826-SM-5P9JF	Normal	GTEx
GTEX-WOFL-0726-SM-3MJG4	Normal	GTEx
GTEX-11GSP-0126-SM-5A5KU	Normal	GTEx
GTEX-YEC3-0826-SM-4WWFP	Normal	GTEx
GTEX-ZLFU-0626-SM-4WWBO	Normal	GTEx
GTEX-WEY5-0526-SM-3GIKZ	Normal	GTEx
GTEX-RU72-0126-SM-2TF6Z	Normal	GTEx
GTEX-11DXY-0426-SM-5H12R	Normal	GTEx
GTEX-13VXU-0826-SM-5KLZ2	Normal	GTEx
GTEX-13OW8-0126-SM-5IJE5	Normal	GTEx
GTEX-Q2AH-0726-SM-2I3EA	Normal	GTEx
GTEX-ZDTS-0926-SM-4WAXG	Normal	GTEx
GTEX-ZYFC-0926-SM-5GZWW	Normal	GTEx
GTEX-13FHP-0926-SM-5L3EC	Normal	GTEx
GTEX-145LU-0426-SM-5O9AH	Normal	GTEx
GTEX-REY6-0526-SM-2TF5M	Normal	GTEx
GTEX-11EM3-0126-SM-5985K	Normal	GTEx
GTEX-11DXX-0226-SM-5P9HL	Normal	GTEx
GTEX-PWN1-2626-SM-2I3FH	Normal	GTEx
GTEX-12584-0826-SM-5FQSK	Normal	GTEx
GTEX-13111-0226-SM-5EQ55	Normal	GTEx
GTEX-11ZVC-0126-SM-5986G	Normal	GTEx
GTEX-Q2AI-0326-SM-2I3EK	Normal	GTEx
GTEX-11O72-2326-SM-5BC7H	Normal	GTEx
GTEX-139TS-0126-SM-5K7XJ	Normal	GTEx
GTEX-RM2N-0526-SM-2TF4N	Normal	GTEx
GTEX-13112-0326-SM-5P9IW	Normal	GTEx
GTEX-11EMC-0226-SM-5EGLP	Normal	GTEx
GTEX-132NY-1026-SM-5P9IY	Normal	GTEx
GTEX-YFC4-2626-SM-5P9FQ	Normal	GTEx
GTEX-11GS4-0826-SM-5986J	Normal	GTEx
GTEX-ZDYS-0626-SM-5J2N5	Normal	GTEx
GTEX-11TT1-1126-SM-5P9GV	Normal	GTEx
GTEX-WVLH-0626-SM-3MJG7	Normal	GTEx
GTEX-WY7C-0226-SM-3NB37	Normal	GTEx
GTEX-13O3Q-0626-SM-5IJG1	Normal	GTEx
GTEX-ZLWG-0526-SM-4WWFB	Normal	GTEx
GTEX-111VG-0526-SM-5N9BW	Normal	GTEx
GTEX-S4Q7-0326-SM-3K2B1	Normal	GTEx
GTEX-13G51-1226-SM-5K7Z3	Normal	GTEx
GTEX-12WSB-0726-SM-5N9GD	Normal	GTEx
GTEX-12WSC-0826-SM-5EQ5Q	Normal	GTEx
GTEX-13NYB-0726-SM-5MR4J	Normal	GTEx
GTEX-13OW6-0726-SM-5L3FX	Normal	GTEx
GTEX-144GM-0226-SM-5Q5CB	Normal	GTEx
GTEX-13QBU-0626-SM-5J2OG	Normal	GTEx
GTEX-W5WG-1426-SM-4KKZP	Normal	GTEx
GTEX-ZTPG-0826-SM-5DUVC	Normal	GTEx
GTEX-13S86-1126-SM-5RQJX	Normal	GTEx
GTEX-WHPG-0226-SM-3NMB9	Normal	GTEx
GTEX-13O1R-0826-SM-5J2MB	Normal	GTEx
GTEX-N7MS-2326-SM-2HMLD	Normal	GTEx
GTEX-ZVZQ-0626-SM-59HJU	Normal	GTEx
GTEX-OXRP-0326-SM-5SI7J	Normal	GTEx
GTEX-117YW-0126-SM-5EGGN	Normal	GTEx
GTEX-13PVQ-0726-SM-5L3GI	Normal	GTEx
GTEX-117XS-0526-SM-5987Q	Normal	GTEx
GTEX-11LCK-0526-SM-5A5M9	Normal	GTEx
GTEX-133LE-0326-SM-5P9G4	Normal	GTEx
GTEX-13O3O-0926-SM-5KM1F	Normal	GTEx
GTEX-WFG8-0426-SM-3GILD	Normal	GTEx
GTEX-1212Z-0426-SM-5FQT6	Normal	GTEx
GTEX-ZVP2-0426-SM-57WC2	Normal	GTEx
GTEX-ZE7O-1126-SM-57WC8	Normal	GTEx
GTEX-145ME-0126-SM-5S2QM	Normal	GTEx
GTEX-13FTW-0626-SM-5IFEX	Normal	GTEx
GTEX-11NUK-1026-SM-5HL5J	Normal	GTEx
GTEX-12WSD-0926-SM-5GCNL	Normal	GTEx
GTEX-111CU-0226-SM-5GZXC	Normal	GTEx
GTEX-113JC-0126-SM-5EGJW	Normal	GTEx
GTEX-OHPK-2626-SM-2HMK9	Normal	GTEx
GTEX-13YAN-0926-SM-5O9C3	Normal	GTEx
GTEX-WL46-0126-SM-3TW8I	Normal	GTEx
GTEX-13FXS-0726-SM-5LZXJ	Normal	GTEx
GTEX-OXRP-0326-SM-33HBJ	Normal	GTEx
GTEX-YEC4-0626-SM-5CVLU	Normal	GTEx
GTEX-OIZG-0226-SM-2TC5L	Normal	GTEx
GTEX-14BMU-0226-SM-5S2QA	Normal	GTEx
GTEX-13CF3-0926-SM-5LZZC	Normal	GTEx
