pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection	pathway_name
HALLMARK_ADIPOGENESIS	0.997999199679872	1	0.000722214742139655	-0.175149665847393	-0.596585664104111	190	SORBS1,ADIPOQ,ITGA7,BCL6,SLC5A6,LIFR,FABP4,SLC19A1,ADCY6,PTCD3,CD36,ELMOD3,PPARG,SPARCL1,ACADL,BAZ2A,OMD,FZD4,PHLDB1,CIDEA,MYLK,PIM3,ITSN1,MGLL,ESRRA,ABCB8,ME1,ARL4A,CD302,LAMA4,PFKL	Hallmark	HALLMARK_ADIPOGENESIS
HALLMARK_ALLOGRAFT_REJECTION	NA	NA	NA	0.313577290369987	NA	185	CTSS,LY86,HLA-DMB,CCND2,MMP9,HLA-G,NPM1,CCL22,PSMB10,CD47,CD86,IGSF6,HLA-DRA,IL1B,ST8SIA4,STAT1,DEGS1,NME1,CAPG,HLA-A,CCR1,ITGB2,CCL7,CDKN2A,SOCS1,TPD52,HLA-DQA1,B2M,CD74,RPS9,IL27RA,LTB,EIF5A,CXCR3,BCL10,RPL39,IL2RB,LYN,IFNGR2,TIMP1,GALNT1,LY75,CD4,IL18,INHBB,RPS3A,CXCL13,MRPL3,NLRP3,GCNT1,RPL9,HLA-DOA,GZMA,HLA-DOB,CRTAM,RIPK2,INHBA,CCR5,UBE2N,ICAM1,CD79A,SPI1,RPS19,HDAC9,TGFB1,F2R,PTPN6,GBP2,CXCL9,CCND3,TNF,HLA-DMA,CCL5,IL12RB1,IL2RG,EREG,CCL13,FAS,NOS2,IFNG,EIF3D,C2,EIF3A,CD3D	Hallmark	HALLMARK_ALLOGRAFT_REJECTION
HALLMARK_ANDROGEN_RESPONSE	0.991251005631537	1	0.00174374736455044	-0.177782057910472	-0.585113269698004	96	LIFR,KLK2,ADAMTS1,SLC38A2,AZGP1,BMPR1B,STEAP4,NDRG1,AKAP12,MAK,KLK3,INPP4B,FKBP5,ELL2,SGK1,ELK4,CDC14B,PIAS1,FADS1,TMPRSS2,MAF,IDI1,PTPN21,ARID5B,HMGCS1,CAMKK2,ABCC4	Hallmark	HALLMARK_ANDROGEN_RESPONSE
HALLMARK_ANGIOGENESIS	0.278646934460888	1	0.0241167368003442	-0.386028621916322	-1.14379964488868	34	MSX1,SERPINA5,KCNJ8,FGFR1,THBD,PGLYRP1,PRG2,VEGFA,FSTL1,SLCO2A1,VTN,JAG1	Hallmark	HALLMARK_ANGIOGENESIS
HALLMARK_APICAL_JUNCTION	0.610983294988497	1	0.0115179223129606	-0.283251516481622	-0.964293903108491	187	NFASC,ACTA1,PKD1,THBS3,ACTN3,INPPL1,ITGA10,PLCG1,TRO,ACTN2,TSC1,CLDN5,NEGR1,CLDN15,EPB41L2,CLDN18,FLNC,DHX16,ACTC1,NEXN,NLGN3,MADCAM1,NLGN2,LAYN,COL16A1,MAPK11,TIAL1,JAM3,PBX2,LAMA3,ACTG2,ADAM23,ADAMTS5,IKBKG,TAOK2,TRAF1,MVD,MAP4K2,CNTN1,SPEG,EVL,ARHGEF6,CADM2,MMP2,AMH	Hallmark	HALLMARK_APICAL_JUNCTION
HALLMARK_APICAL_SURFACE	0.413796713074427	1	0.0178457018131902	-0.348783592442972	-1.05277863191277	39	SRPX,GAS1,CROCC,EFNA5,SLC2A4,GHRL,RTN4RL1,EPHB4,MDGA1,NTNG1,SLC34A3,TMEM8B,RHCG	Hallmark	HALLMARK_APICAL_SURFACE
HALLMARK_APOPTOSIS	NA	NA	NA	0.230267320077255	NA	157	CCND1,BID,TOP2A,TNFRSF12A,GPX1,PMAIP1,KRT18,CCND2,CD44,BAX,ANXA1,LGALS3,GPX4,PPT1,SC5D,BCL2L10,IL1B,DIABLO,IGF2R,FDXR,CLU,XIAP,PSEN1,CDKN1A,GUCY2D,BTG2,BCL10,LMNA,DAP,IL1A,PDCD4,BCL2L1,TIMP1,IL18,CD14,HMOX1,ANKH,BCAP31,CTNNB1,TSPO,MGMT,WEE1,ERBB3,GSR	Hallmark	HALLMARK_APOPTOSIS
HALLMARK_BILE_ACID_METABOLISM	0.945315641334942	1	0.00363501395439025	-0.21730572281648	-0.7171131445776	100	ABCA9,ABCA6,CYP8B1,CYP46A1,TFCP2L1,ABCA8,EFHC1,PEX1,ALDH8A1,ABCA5,SLC23A1	Hallmark	HALLMARK_BILE_ACID_METABOLISM
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.85346835443038	1	0.00623273499624598	-0.245225740935628	-0.788869810131349	72	ADH4,GSTM2,ANTXR2,CHKA,STARD4,LSS,PPARG,AVPR1A,ACSS2,SEMA3B,MVD,CBS,FASN,FABP5,NFIL3,JAG1,ATXN2,GLDC	Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS
HALLMARK_COAGULATION	0.000958834554012465	0.0105471800941371	0.477270815362862	0.263353756203403	1.54577700573061	122	S100A1,DPP4,SERPINA1,DUSP6,FN1,CTSH,ITGA2,CTSB,TMPRSS6,APOC2,MMP9,APOC1,MMP7,ANXA1,PROS1,S100A13,OLR1,RABIF,MMP11,MMP1,LAMP2,MMP10,PLAU,C1QA,CLU,LTA4H,CFI,PRSS23,ISCU,CD9,FYN,TIMP1,CTSV,HPN	Hallmark	HALLMARK_COAGULATION
