pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection	pathway_name
KEGG_ABC_TRANSPORTERS	0.00483244038239311	0.0372668666184025	0.213387923018053	-0.530432621579335	-1.59125630788252	38	ABCA10,ABCA9,ABCA6,ABCC5,ABCC2,ABCA8,ABCC9,ABCA5,ABCB6,ABCC1,ABCA7,ABCD4,ABCC10,ABCB1,CFTR,ABCC8,ABCB8,ABCD2,ABCA13,ABCB10,ABCB4,ABCC4,ABCD1,ABCA3,TAP2,ABCG4	KEGG	KEGG_ABC_TRANSPORTERS
KEGG_ACUTE_MYELOID_LEUKEMIA	0.784968257218923	1	0.00796226961882147	-0.264201970906752	-0.831248179858904	57	RUNX1T1,IKBKB,ZBTB16,TCF7L1,IKBKG,RPS6KB2,MTOR,RAF1,SOS1,RPS6KB1,MYC,PIM1,KIT,TCF7L2,STAT3,PIK3CD,PIK3R5,BRAF,PIK3R3,ARAF,STAT5B,RELA	KEGG	KEGG_ACUTE_MYELOID_LEUKEMIA
KEGG_ADHERENS_JUNCTION	0.831233489128226	1	0.00680470732577912	-0.251197805793271	-0.803683281816577	68	ACTN3,SORBS1,ACTN2,FARP2,TCF7L1,FGFR1,TGFBR2,WASF3,SNAI1,SNAI2	KEGG	KEGG_ADHERENS_JUNCTION
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.0817243845132291	0.306883403070085	0.0489408978432111	-0.404242930965464	-1.28107322004713	62	ACACB,ADIPOQ,PCK1,IKBKB,CPT1B,CD36,RXRB,PRKAB2,SLC2A4,JAK2,PPARGC1A,POMC,IKBKG,IRS4,LEPR,ACSL6,MTOR,CPT1C,IRS1,PRKAA1,NFKBIA,ACSL1,PRKAG2,STAT3,PRKAA2,STK11,CAMKK2,CPT1A,MAPK10,TRADD,PRKCQ,RELA,ADIPOR2,SOCS3,CHUK,PPARA,NPY,RXRA	KEGG	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.325365205843293	0.798229305002213	0.0911296779883595	0.253959754400928	1.07501440794755	27	IL4I1,GLS2,ACY3,ALDH5A1,ASS1,DDO	KEGG	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.750158127767236	1	0.00918615731050567	-0.28067708375685	-0.835880672386007	36	IGF1,ATP1A2,IRS4,SGK1,SCNN1B,HSD11B1,PRKCA,HSD11B2,IRS1,FXYD2,PIK3CD,PIK3R5,SCNN1A,PIK3R3	KEGG	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION
KEGG_ALLOGRAFT_REJECTION	2.97576727413853e-06	7.04983129723193e-05	0.627256739718528	0.604473023427227	2.64387416889113	31	HLA-DMB,HLA-G,CD86,HLA-DQA2,HLA-DRA,HLA-DPB1,HLA-A,HLA-DQA1,HLA-DQB1,HLA-DPA1,HLA-DRB5,HLA-DRB1,HLA-B,HLA-DOA,HLA-DOB,HLA-C,TNF,HLA-DMA,FAS,IFNG	KEGG	KEGG_ALLOGRAFT_REJECTION
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.436937975559142	0.874115983026874	0.018469429844066	-0.403895068015147	-1.04312296899099	16	PLA2G6,PLA2G4B,JMJD7-PLA2G4B,PLA2G2A	KEGG	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM
KEGG_ALZHEIMERS_DISEASE	0.0347155990730143	0.155796834864259	0.321775918075361	0.201711971834402	1.21722516517013	145	BID,PSENEN,NDUFC2,CDK5,NDUFA7,IL1B,FADD,COX6B1,COX7C,NDUFS5,NDUFB9,NDUFB4,COX7A2L,GAPDH,PSEN1,NDUFB6,CALM2,CHP1,UQCRC1,COX4I1,COX7A2,APOE,CALM3,APH1A,NDUFC1,NDUFB5,NDUFB8,NDUFB2,COX7B,NDUFA2,NDUFA8,UQCRB,ITPR2,GSK3B,UQCR10,NDUFA3,COX6A1,PPP3CA,NDUFS6,NDUFS8,NDUFA4,UQCRH,NDUFA1,NDUFB10,NDUFAB1,NDUFS4,MAPK1,TNF,NCSTN,UQCRQ,NDUFS3,SDHB	KEGG	KEGG_ALZHEIMERS_DISEASE
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.918407960199005	1	0.00651495393777413	-0.233368173969889	-0.642833310404587	22	SARS2,SEPSECS,HARS2,VARS2,CARS2,AARS2	KEGG	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.193317422434368	0.573716221418123	0.160146983509279	0.246684588487723	1.15963074020039	42	GALE,HK2,CHIA,CHIT1,GNPDA1,UXS1	KEGG	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.98002265472145	1	0.00325347696441551	-0.184177551778593	-0.570650678335459	49	GRIA1,MAPK12,MAPK11,GRIN2C,CASP9,NOS1,GRIN2D	KEGG	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS
