collection	pathway	size	NES	pval	padj	abs_NES
Hallmark	HALLMARK_MYOGENESIS	188	-1.65447201598128	1.30157387608468e-08	4.29519379107946e-07	1.65447201598128
Hallmark	HALLMARK_PROTEIN_SECRETION	95	1.61655199123992	0.000137788424319372	0.00227350900126964	1.61655199123992
Hallmark	HALLMARK_COAGULATION	122	1.54577700573061	0.000958834554012465	0.0105471800941371	1.54577700573061
KEGG	KEGG_RIBOSOME	86	3.94177729981498	1.57306926788876e-28	2.89444745291532e-26	3.94177729981498
KEGG	KEGG_GRAFT_VERSUS_HOST_DISEASE	32	2.8111883517487	5.48173841312232e-08	2.52159967003627e-06	2.8111883517487
KEGG	KEGG_PROTEASOME	41	2.76764814632003	1.42105079227995e-08	1.30736672889755e-06	2.76764814632003
KEGG	KEGG_ALLOGRAFT_REJECTION	31	2.64387416889113	2.97576727413853e-06	7.04983129723193e-05	2.64387416889113
KEGG	KEGG_TYPE_I_DIABETES_MELLITUS	37	2.56551709630358	2.86976370483863e-06	7.04983129723193e-05	2.56551709630358
KEGG	KEGG_AUTOIMMUNE_THYROID_DISEASE	33	2.45639071458274	1.03164572511208e-05	0.000186859719123461	2.45639071458274
KEGG	KEGG_ASTHMA	20	2.45596139224045	7.69492360521755e-05	0.00108912764873848	2.45596139224045
KEGG	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	62	2.40109365552406	3.7143468975522e-08	2.27813276383202e-06	2.40109365552406
KEGG	KEGG_DNA_REPLICATION	35	2.00704379834053	0.000476293967287308	0.00547738062380404	2.00704379834053
KEGG	KEGG_P53_SIGNALING_PATHWAY	66	1.96948315089065	6.07276854354602e-05	0.000931157843343722	1.96948315089065
KEGG	KEGG_CELL_CYCLE	122	1.92087786650495	1.60572860052558e-06	5.90908124993413e-05	1.92087786650495
KEGG	KEGG_LYSOSOME	118	1.91077834559208	3.06514404227475e-06	7.04983129723193e-05	1.91077834559208
KEGG	KEGG_OXIDATIVE_PHOSPHORYLATION	109	1.87224173187053	1.11709614693373e-05	0.000186859719123461	1.87224173187053
KEGG	KEGG_CELL_ADHESION_MOLECULES_CAMS	126	1.8431926441942	4.19896442164378e-06	8.58454948424951e-05	1.8431926441942
KEGG	KEGG_VIRAL_MYOCARDITIS	62	1.78605276666755	0.000168934854166728	0.00222028665476271	1.78605276666755
KEGG	KEGG_PROTEIN_EXPORT	23	1.6853209549641	0.00701844167191492	0.0496689718320133	1.6853209549641
KEGG	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	52	1.63150962917412	0.00147446098474369	0.0150722678440466	1.63150962917412
KEGG	KEGG_DILATED_CARDIOMYOPATHY	81	-1.62908395368274	0.000256369059168655	0.00314479379246884	1.62908395368274
KEGG	KEGG_ABC_TRANSPORTERS	38	-1.59125630788252	0.00483244038239311	0.0372668666184025	1.59125630788252
KEGG	KEGG_PARKINSONS_DISEASE	108	1.56622598439105	0.000542705784190525	0.00587399201712097	1.56622598439105
KEGG	KEGG_HEDGEHOG_SIGNALING_PATHWAY	47	-1.55944612077294	0.00486089564587858	0.0372668666184025	1.55944612077294
KEGG	KEGG_BASAL_CELL_CARCINOMA	49	-1.55872848045061	0.00422201627020904	0.0353114088053847	1.55872848045061
KEGG	KEGG_LEISHMANIA_INFECTION	68	1.54325620197865	0.00200270981174196	0.0193946634400274	1.54325620197865
KEGG	KEGG_PEROXISOME	73	1.48739295650793	0.00369315486508947	0.0328227676612814	1.48739295650793
KEGG	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	74	-1.48527151157779	0.00374607674395059	0.0328227676612814	1.48527151157779
KEGG	KEGG_CALCIUM_SIGNALING_PATHWAY	146	-1.35429768126943	0.00580871306960441	0.0427521281922884	1.35429768126943
Reactome	Peptide chain elongation	87	4.05074254777899	1.24661898245579e-31	4.25097073017425e-29	4.05074254777899
Reactome	Formation of a pool of free 40S subunits	99	4.04077210501153	5.92657686670963e-34	1.21257762692879e-30	4.04077210501153
Reactome	Viral mRNA Translation	87	4.00945066301193	7.75682129735795e-31	1.9838070467993e-28	4.00945066301193
Reactome	Eukaryotic Translation Elongation	92	3.99191479666557	6.46236735512974e-33	4.40733453619848e-30	3.99191479666557
Reactome	Eukaryotic Translation Termination	90	3.99093866255905	6.48108074884528e-32	3.31507280303436e-29	3.99093866255905
Reactome	L13a-mediated translational silencing of Ceruloplasmin expression	109	3.92887404024204	2.88170028578517e-33	2.94797939235823e-30	3.92887404024204
Reactome	PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA	88	3.90461533924882	3.02466811773441e-28	6.18847096888459e-26	3.90461533924882
