panel_group	database_id	pathway_name	biological_domain	reason_for_inclusion	redundancy_note	source	geneset_size	geneset
ORIGINAL_10	hsa05216	Thyroid cancer	Oncogenesis (thyroid)	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	37	BAK1,BAX,BRAF,CCDC6,CCND1,CDH1,CDKN1A,CTNNB1,DDB2,GADD45A,GADD45B,GADD45G,HRAS,KRAS,LEF1,MAP2K1,MAP2K2,MAPK1,MAPK3,MYC,NCOA4,NRAS,NTRK1,PAX8,POLK,PPARG,RET,RXRA,RXRB,RXRG,TCF7,TCF7L1,TCF7L2,TFG,TP53,TPM3,TPR
ORIGINAL_10	hsa04919	Thyroid hormone signaling	Hormone signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	122	ACTB,ACTG1,AKT1,AKT2,AKT3,ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP1B1,ATP1B2,ATP1B3,ATP1B4,ATP2A1,ATP2A2,ATP2A3,BAD,BMP4,CASP9,CCND1,CREBBP,CTNNB1,DIO1,DIO2,DIO3,EP300,ESR1,FOXO1,FXYD2,GATA4,GSK3B,HDAC1,HDAC2,HDAC3,HIF1A,HRAS,ITGAV,ITGB3,KAT2A,KAT2B,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,MDM2,MED1,MED12,MED12L,MED13,MED13L,MED14,MED16,MED17,MED24,MED27,MED30,MED4,MTOR,MYC,MYH6,MYH7,NCOA1,NCOA2,NCOA3,NCOR1,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NRAS,P3R3URF-PIK3R3,PDPK1,PFKFB2,PFKL,PFKM,PFKP,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCG1,PLCG2,PLCZ1,PLN,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCG,RAF1,RCAN1,RCAN2,RHEB,RXRA,RXRB,RXRG,SIN3A,SLC16A10,SLC16A2,SLC2A1,SLC9A1,SLCO1C1,SRC,STAT1,TBC1D4,THRA,THRB,TP53,TSC2,WNT4
ORIGINAL_10	hsa04010	MAPK signaling pathway	Growth factor signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	301	AKT1,AKT2,AKT3,ANGPT1,ANGPT2,ANGPT4,ARAF,AREG,ARRB1,ARRB2,ARTN,ATF2,ATF4,BDNF,BRAF,CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1F,CACNA1G,CACNA1H,CACNA1I,CACNA1S,CACNA2D1,CACNA2D2,CACNA2D3,CACNA2D4,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,CACNG6,CACNG7,CACNG8,CASP3,CD14,CDC25B,CDC42,CHUK,CRK,CRKL,CSF1,CSF1R,DAXX,DDIT3,DUSP1,DUSP10,DUSP16,DUSP2,DUSP3,DUSP4,DUSP5,DUSP6,DUSP7,DUSP8,DUSP9,ECSIT,EFNA1,EFNA2,EFNA3,EFNA4,EFNA4-EFNA3,EFNA5,EGF,EGFR,ELK1,ELK4,EPHA2,ERBB2,ERBB3,ERBB4,EREG,FAS,FASLG,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF21,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FLNA,FLT1,FLT3,FLT3LG,FLT4,FOS,GADD45A,GADD45B,GADD45G,GDNF,GNA12,GNG12,GRB2,HGF,HRAS,HSPA1A,HSPA1B,HSPA1L,HSPA6,HSPA8,HSPB1,IGF1,IGF1R,IGF2,IKBKB,IKBKG,IL1A,IL1B,IL1R1,IL1RAP,INS,INSR,IRAK1,IRAK4,JMJD7-PLA2G4B,JUN,JUND,KDR,KIT,KITLG,KRAS,LAMTOR3,MAP2K1,MAP2K2,MAP2K3,MAP2K4,MAP2K5,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K11,MAP3K12,MAP3K13,MAP3K14,MAP3K2,MAP3K20,MAP3K21,MAP3K3,MAP3K4,MAP3K5,MAP3K6,MAP3K7,MAP3K8,MAP3K9,MAP4K1,MAP4K2,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK11,MAPK12,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MAPK8IP1,MAPK8IP2,MAPK8IP3,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,MAPT,MAX,MECOM,MEF2C,MET,MKNK1,MKNK2,MRAS,MYC,MYD88,NF1,NFATC1,NFATC3,NFKB1,NFKB2,NGF,NGFR,NLK,NR4A1,NRAS,NRTN,NTF3,NTF4,NTRK1,NTRK2,PAK1,PAK2,PDGFA,PDGFB,PDGFC,PDGFD,PDGFRA,PDGFRB,PEA15,PGF,PLA2G4A,PLA2G4B,PLA2G4C,PLA2G4D,PLA2G4E,PLA2G4F,PPM1A,PPM1B,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,PPP5C,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCG,PSPN,PTPN5,PTPN7,PTPRR,RAC1,RAC2,RAC3,RAF1,RAP1A,RAP1B,RAPGEF2,RASA1,RASA2,RASGRF1,RASGRF2,RASGRP1,RASGRP2,RASGRP3,RASGRP4,RELA,RELB,RET,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RRAS,RRAS2,SOS1,SOS2,SRF,STK3,STK4,STMN1,TAB1,TAB2,TAOK1,TAOK2,TAOK3,TEK,TGFA,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TNF,TNFRSF1A,TP53,TRADD,TRAF2,TRAF6,VEGFA,VEGFB,VEGFC,VEGFD
ORIGINAL_10	hsa04151	PI3K-Akt signaling pathway	Growth factor signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	362	[KO:K06856],AKT1,AKT2,AKT3,ANGPT1,ANGPT2,ANGPT4,AREG,ARTN,ATF2,ATF4,ATF6B,BAD,BCL2,BCL2L1,BCL2L11,BDNF,BRCA1,C8orf44-SGK3,CASP9,CCND1,CCND2,CCND3,CCNE1,CCNE2,CD19,CDC37,CDK2,CDK4,CDK6,CDKN1A,CDKN1B,CHAD,CHRM1,CHRM2,CHUK,COL1A1,COL1A2,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL6A1,COL6A2,COL6A3,COL6A5,COL6A6,COL9A1,COL9A2,COL9A3,COMP,CREB1,CREB3,CREB3L1,CREB3L2,CREB3L3,CREB3L4,CREB5,CRTC2,CSF1,CSF1R,CSF3,CSF3R,CSH1,CSH2,CSHL1,DDIT4,EFNA1,EFNA2,EFNA3,EFNA4,EFNA4-EFNA3,EFNA5,EGF,EGFR,EIF4B,EIF4E,EIF4E1B,EIF4E2,EIF4EBP1,EPHA2,EPO,EPOR,ERBB2,ERBB3,ERBB4,EREG,F2R,FASLG,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF21,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT3LG,FLT4,FN1,FOXO3,G6PC1,G6PC2,G6PC3,GDNF,GH1,GH2,GHR,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GRB2,GSK3B,GYS1,GYS2,HGF,HRAS,HSP90AA1,HSP90AB1,HSP90B1,IBSP,IFNA1,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNAR1,IFNAR2,IFNB1,IGF1,IGF1R,IGF2,IKBKB,IKBKG,IL2,IL2RA,IL2RB,IL2RG,IL3,IL3RA,IL4,IL4R,IL6,IL6R,IL7,IL7R,INS,INSR,IRS1,ITGA1,ITGA10,ITGA11,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,JAK1,JAK2,JAK3,KDR,KIT,KITLG,KRAS,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMB4,LAMC1,LAMC2,LAMC3,LPAR1,LPAR2,LPAR3,LPAR4,LPAR5,LPAR6,MAGI1,MAGI2,MAP2K1,MAP2K2,MAPK1,MAPK3,MCL1,MDM2,MET,MLST8,MTCP1,MTOR,MYB,MYC,NFKB1,NGF,NGFR,NOS3,NR4A1,NRAS,NRTN,NTF3,NTF4,NTRK1,NTRK2,OSM,OSMR,P3R3URF-PIK3R3,PCK1,PCK2,PDGFA,PDGFB,PDGFC,PDGFD,PDGFRA,PDGFRB,PDPK1,PGF,PHLPP1,PHLPP2,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIK3R6,PKN1,PKN2,PKN3,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R2D,PPP2R3A,PPP2R3B,PPP2R3C,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKAA1,PRKAA2,PRKCA,PRL,PRLR,PSPN,PTEN,PTK2,RAC1,RAF1,RBL2,RELA,RELN,RET,RHEB,RPS6,RPS6KB1,RPS6KB2,RPTOR,RXRA,SGK1,SGK2,SGK3,SOS1,SOS2,SPP1,STK11,SYK,TCL1A,TCL1B,TEK,TGFA,THBS1,THBS2,THBS3,THBS4,THEM4,TLR2,TLR4,TNC,TNN,TNR,TNXB,TP53,TSC1,TSC2,VEGFA,VEGFB,VEGFC,VEGFD,VTN,VWF,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ
ORIGINAL_10	hsa04150	mTOR signaling pathway	Nutrient signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	158	AKT1,AKT1S1,AKT2,AKT3,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C1,ATP6V1C2,ATP6V1D,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1FP2,ATP6V1G1,ATP6V1G2,ATP6V1G3,ATP6V1H,BRAF,CAB39,CAB39L,CASTOR1,CASTOR2,CHUK,CLIP1,DDIT4,DEPDC5,DEPTOR,DVL1,DVL2,DVL3,EIF4B,EIF4E,EIF4E1B,EIF4E2,EIF4EBP1,FLCN,FNIP1,FNIP2,FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,GRB10,GRB2,GSK3B,HRAS,IGF1,IGF1R,IKBKB,INS,INSR,IRS1,KRAS,LAMTOR1,LAMTOR2,LAMTOR3,LAMTOR4,LAMTOR5,LPIN1,LPIN2,LPIN3,LRP5,LRP6,MAP2K1,MAP2K2,MAPK1,MAPK3,MAPKAP1,MIOS,MLST8,MTOR,NPRL2,NPRL3,NRAS,P3R3URF-PIK3R3,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PRKAA1,PRKAA2,PRKCA,PRKCB,PRKCG,PRR5,PRR5L,PTEN,RAF1,RHEB,RHOA,RICTOR,RNF152,RPS6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6,RPS6KB1,RPS6KB2,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,SEC13,SEH1L,SESN2,SGK1,SKP2,SLC38A9,SLC3A2,SLC7A5,SOS1,SOS2,STK11,STRADA,STRADB,TBC1D7,TBC1D7-LOC100130357,TELO2,TNF,TNFRSF1A,TSC1,TSC2,TTI1,ULK1,ULK2,WDR24,WDR59,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B
ORIGINAL_10	hsa04115	p53 signaling pathway	Tumor suppression	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	75	ADGRB1,AIFM2,APAF1,ATM,ATR,BAX,BBC3,BCL2,BCL2L1,BID,CASP3,CASP8,CASP9,CCNB1,CCNB2,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNG1,CCNG2,CD82,CDK1,CDK2,CDK4,CDK6,CDKN1A,CDKN2A,CHEK1,CHEK2,COP1,CYCS,DDB2,EI24,FAS,GADD45A,GADD45B,GADD45G,GORAB,GTSE1,IGF1,IGFBP3,MDM2,MDM4,PERP,PIDD1,PMAIP1,PPM1D,PPP1R13L,PTEN,RCHY1,RPRM,RRM2,RRM2B,SERPINB5,SERPINE1,SESN1,SESN2,SESN3,SFN,SHISA5,SIAH1,SIVA1,STEAP3,THBS1,TNFRSF10A,TNFRSF10B,TP53,TP53AIP1,TP53I3,TP73,TSC2,ZMAT3,ZNF385A
ORIGINAL_10	hsa04210	Apoptosis	Cell death	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	138	ACTB,ACTG1,AIFM1,AKT1,AKT2,AKT3,APAF1,ATF4,ATM,BAD,BAK1,BAX,BBC3,BCL2,BCL2A1,BCL2L1,BCL2L11,BID,BIRC2,BIRC3,BIRC5,CAPN1,CAPN2,CASP10,CASP12,CASP2,CASP3,CASP6,CASP7,CASP8,CASP9,CFLAR,CHUK,CSF2RB,CTSB,CTSC,CTSD,CTSF,CTSH,CTSK,CTSL,CTSO,CTSS,CTSV,CTSW,CTSZ,CYCS,DAB2IP,DAXX,DDIT3,DFFA,DFFB,DIABLO,EIF2AK3,EIF2S1,ENDOG,ERN1,FADD,FAS,FASLG,FOS,GADD45A,GADD45B,GADD45G,GZMB,HRAS,HRK,HTRA2,IKBKB,IKBKG,IL3,IL3RA,ITPR1,ITPR2,ITPR3,JUN,KRAS,LMNA,LMNB1,LMNB2,MAP2K1,MAP2K2,MAP3K14,MAP3K5,MAPK1,MAPK10,MAPK3,MAPK8,MAPK9,MCL1,NFKB1,NFKBIA,NGF,NOL3,NRAS,NTRK1,P3R3URF-PIK3R3,PARP1,PARP2,PARP3,PARP4,PDPK1,PIDD1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PMAIP1,PRF1,PTPN13,RAF1,RELA,RIPK1,SEPTIN4,SPTAN1,TNF,TNFRSF10A,TNFRSF10B,TNFRSF1A,TNFSF10,TP53,TP53AIP1,TRADD,TRAF1,TRAF2,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,XIAP
ORIGINAL_10	hsa04110	Cell cycle	Cell proliferation	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	158	ABL1,ANAPC1,ANAPC10,ANAPC11,ANAPC13,ANAPC15,ANAPC16,ANAPC2,ANAPC4,ANAPC5,ANAPC7,ATM,ATR,ATRX,AURKB,BUB1,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNH,CDC14A,CDC14B,CDC14C,CDC16,CDC20,CDC23,CDC25A,CDC25B,CDC25C,CDC26,CDC27,CDC45,CDC6,CDC7,CDCA5,CDK1,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CDT1,CHEK1,CHEK2,CREBBP,CUL1,DBF4,DBF4B,DDX11,E2F1,E2F2,E2F3,E2F4,E2F5,EP300,ESCO1,ESCO2,ESPL1,FBXO5,FZR1,GADD45A,GADD45B,GADD45G,GSK3B,HDAC1,HDAC2,HDAC8,KNL1,MAD1L1,MAD2L1,MAD2L1BP,MAD2L2,MAU2,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MDM2,MTBP,MYC,NDC80,NIPBL,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PCNA,PDS5A,PDS5B,PKMYT1,PLK1,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKDC,PTTG1,PTTG2,RAD21,RB1,RBL1,RBL2,RBX1,SFN,SGO1,SKP1,SKP2,SMAD2,SMAD3,SMAD4,SMC1A,SMC1B,SMC3,STAG1,STAG2,TFDP1,TFDP2,TGFB1,TGFB2,TGFB3,TICRR,TP53,TRIP13,TTK,WAPL,WEE1,WEE2,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZBTB17
ORIGINAL_10	hsa04310	Wnt signaling pathway	Developmental signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	178	ANKRD6,APC,APC2,APCDD1,APCDD1L,AXIN1,AXIN2,BAMBI,BTRC,CACYBP,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CBY1,CCAR2,CCDC88C,CCN4,CCND1,CCND2,CCND3,CELSR1,CELSR2,CELSR3,CER1,CHD8,CREBBP,CSNK1A1,CSNK1A1L,CSNK1E,CSNK2A1,CSNK2A2,CSNK2A3,CSNK2B,CTBP1,CTBP2,CTNNB1,CTNNBIP1,CTNND2,CUL1,CXXC4,DAAM1,DAAM2,DKK1,DKK2,DKK4,DVL1,DVL2,DVL3,EP300,FBXW11,FOSL1,FRAT1,FRAT2,FRZB,FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,GPC4,GSK3B,INVS,JUN,LEF1,LGR4,LGR5,LGR6,LRP5,LRP6,LZTS2,MAP3K7,MAPK10,MAPK8,MAPK9,MCC,MMP7,MYC,NFATC1,NFATC2,NFATC3,NFATC4,NKD1,NKD2,NLK,NOTUM,PLCB1,PLCB2,PLCB3,PLCB4,PORCN,PPARD,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,PRICKLE1,PRICKLE2,PRICKLE3,PRICKLE4,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCG,PSEN1,RAC1,RAC2,RAC3,RBX1,RHOA,RNF43,ROCK2,ROR1,ROR2,RSPO1,RSPO2,RSPO3,RSPO4,RUVBL1,RYK,SENP2,SERPINF1,SFRP1,SFRP2,SFRP4,SFRP5,SIAH1,SIRT1,SKP1,SMAD3,SMAD4,SOST,SOX17,TBL1X,TBL1XR1,TBL1Y,TCF7,TCF7L1,TCF7L2,TLE1,TLE2,TLE3,TLE4,TLE6,TLE7,TP53,TPTEP2-CSNK1E,VANGL1,VANGL2,WIF1,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,ZNRF3
ORIGINAL_10	hsa04064	NF-kappa B signaling pathway	Inflammation/immune	Pré-especificado no desenho original do projeto (painel a priori)	—	KEGG	105	[KO:K06856],ATM,BCL10,BCL2,BCL2A1,BCL2L1,BIRC2,BIRC3,BLNK,BTK,CARD10,CARD11,CARD14,CCL13,CCL19,CCL21,CCL4,CCL4L1,CCL4L2,CD14,CD40,CD40LG,CFLAR,CHUK,CSNK2A1,CSNK2A2,CSNK2A3,CSNK2B,CXCL1,CXCL12,CXCL2,CXCL3,CXCL8,CYLD,EDA,EDA2R,EDAR,EDARADD,ERC1,GADD45A,GADD45B,GADD45G,ICAM1,IKBKB,IKBKG,IL1B,IL1R1,IRAK1,IRAK4,LAT,LBP,LCK,LTA,LTB,LTBR,LY96,LYN,MALT1,MAP3K14,MAP3K7,MYD88,NFKB1,NFKB2,NFKBIA,PARP1,PIAS4,PIDD1,PLAU,PLCG1,PLCG2,PPP1R13L,PRKCB,PRKCQ,PTGS2,RELA,RELB,RIGI,RIPK1,SYK,TAB1,TAB2,TAB3,TICAM1,TICAM2,TIRAP,TLR4,TNF,TNFAIP3,TNFRSF11A,TNFRSF13C,TNFRSF1A,TNFSF11,TNFSF13B,TNFSF14,TRADD,TRAF1,TRAF2,TRAF3,TRAF5,TRAF6,TRIM25,UBE2I,VCAM1,XIAP,ZAP70
