pathway_A	pathway_B	name_A	name_B	overlap_genes	jaccard
hsa04510	hsa04512	Focal adhesion	ECM-receptor interaction	65	0.286343612334802
hsa04668	hsa04657	TNF signaling pathway	IL-17 signaling pathway	44	0.260355029585799
hsa04151	hsa04510	PI3K-Akt signaling pathway	Focal adhesion	115	0.255555555555556
hsa04668	hsa04620	TNF signaling pathway	Toll-like receptor signaling pathway	46	0.252747252747253
hsa04210	hsa04668	Apoptosis	TNF signaling pathway	44	0.206572769953052
hsa04512	R-HSA-1474244	ECM-receptor interaction	Extracellular matrix organization	68	0.198830409356725
hsa04010	hsa04151	MAPK signaling pathway	PI3K-Akt signaling pathway	108	0.194594594594595
hsa04310	hsa04390	Wnt signaling pathway	Hippo signaling pathway	54	0.192170818505338
hsa04657	hsa04620	IL-17 signaling pathway	Toll-like receptor signaling pathway	30	0.173410404624277
hsa04064	hsa04668	NF-kappa B signaling pathway	TNF signaling pathway	33	0.172774869109948
hsa04151	hsa04512	PI3K-Akt signaling pathway	ECM-receptor interaction	65	0.16839378238342
hsa04151	hsa04630	PI3K-Akt signaling pathway	JAK-STAT signaling pathway	75	0.164835164835165
hsa04064	hsa04620	NF-kappa B signaling pathway	Toll-like receptor signaling pathway	29	0.156756756756757
hsa04150	hsa04140	mTOR signaling pathway	Autophagy - animal	43	0.151408450704225
hsa04110	hsa04218	Cell cycle	Cellular senescence	41	0.14963503649635
hsa04510	R-HSA-1474244	Focal adhesion	Extracellular matrix organization	67	0.146608315098468
hsa04630	hsa04620	JAK-STAT signaling pathway	Toll-like receptor signaling pathway	34	0.139917695473251
hsa04210	hsa04620	Apoptosis	Toll-like receptor signaling pathway	30	0.138248847926267
hsa03440	hsa03030	Homologous recombination	DNA replication	9	0.132352941176471
hsa04919	hsa04066	Thyroid hormone signaling	HIF-1 signaling pathway	27	0.131707317073171
hsa04350	hsa04390	TGF-beta signaling pathway	Hippo signaling pathway	31	0.13135593220339
hsa04150	hsa04310	mTOR signaling pathway	Wnt signaling pathway	39	0.131313131313131
hsa04115	hsa04218	p53 signaling pathway	Cellular senescence	26	0.12621359223301
hsa04064	hsa04657	NF-kappa B signaling pathway	IL-17 signaling pathway	22	0.124293785310734
hsa04150	hsa04066	mTOR signaling pathway	HIF-1 signaling pathway	29	0.121338912133891
