database_id	pathway_name	panel_group	source	global_match	sig_global	NES_limma	padj_limma	NES_voom	padj_voom	NES_deseq2	padj_deseq2	status	sig_panel	consistent_methods	persists_composition	robustness_score	robustness_class	external_replication	compartment_association	biological_coherence
R-HSA-1474244	Extracellular matrix organization	ADDITIONAL_20	Reactome	Extracellular matrix organization	FALSE	-1.05328949057596	0.656512450764404	-1.06222448802746	0.315569035239746	1.33799281618844	0.0138427464008859	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	ECM/adesão (tumor+estroma)	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
R-HSA-3299685	Detoxification of Reactive Oxygen Species	ADDITIONAL_20	Reactome	Detoxification of Reactive Oxygen Species	FALSE	1.15743600779001	0.638382315614592	1.96332614434773	0.00102996687757917	1.85979816440727	0.00348892690753633	NS	FALSE	TRUE	FALSE	1	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
R-HSA-913531	Interferon Signaling	ADDITIONAL_20	Reactome	Interferon Signaling	FALSE	NA	NA	2.46872750436135	8.57791969067393e-20	2.14944658306861	3.76757886670952e-12	INDETERMINADO	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	imune	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa00190	Oxidative phosphorylation	ADDITIONAL_20	KEGG	KEGG_OXIDATIVE_PHOSPHORYLATION	TRUE	2.18477436949264	3.29218068753515e-07	2.85068275324591	2.30680429310885e-16	2.69841836421678	8.35115080922791e-14	ROBUSTA	TRUE	TRUE	TRUE	4	ROBUSTA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa03030	DNA replication	ADDITIONAL_20	KEGG	KEGG_DNA_REPLICATION	TRUE	2.01404426755719	0.00477682423308201	2.37193474424551	2.00420900689145e-06	2.18376916362177	4.99414751516478e-05	ROBUSTA	TRUE	TRUE	TRUE	4	ROBUSTA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa03050	Proteasome	ADDITIONAL_20	KEGG	KEGG_PROTEASOME	TRUE	2.82143874636592	1.82085945152562e-07	2.81243310759039	7.80542156825635e-13	2.51577643359263	2.99136680777927e-08	ROBUSTA	TRUE	TRUE	TRUE	4	ROBUSTA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa03440	Homologous recombination	ADDITIONAL_20	KEGG	KEGG_HOMOLOGOUS_RECOMBINATION	FALSE	-0.82699973540171	0.882810265039966	1.5396745884041	0.0438321853475266	1.31107067355966	0.175578915295552	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04010	MAPK signaling pathway	ORIGINAL_10	KEGG	KEGG_MAPK_SIGNALING_PATHWAY	FALSE	-1.06981611173978	0.638382315614592	1.05687893060508	0.315569035239746	0.991341824509519	0.537203870537204	NS	FALSE	FALSE	FALSE	0	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04064	NF-kappa B signaling pathway	ORIGINAL_10	KEGG	NA	FALSE	-1.00925409633672	0.782419495213229	-0.770036426774694	0.930030257186082	-0.808996142014437	0.891121031746032	NS	FALSE	TRUE	FALSE	1	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04066	HIF-1 signaling pathway	ADDITIONAL_20	KEGG	NA	FALSE	-0.947639851851972	0.782419495213229	1.32867622343754	0.0653553299492386	0.993480735267585	0.537203870537204	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
