gene	degree	betweenness	closeness	eigenvector
MYL1	6	0.00378787878787879	1	1
MYH7	6	0.00378787878787879	1	1
CKM	5	0	0.857142857142857	0.936526923888742
MYL2	5	0	0.857142857142857	0.936526923888742
ACTA1	5	0	0.857142857142857	0.936526923888742
CSRP3	5	0	0.857142857142857	0.936526923888742
MEIS1	3	0.00568181818181818	1	3.96195510176281e-16
GPC3	3	0.00378787878787879	1	5.28260680235042e-16
ADHFE1	2	0.00189393939393939	1	3.96195510176281e-16
MYL7	2	0	0.6	0.389442227233578
WNT11	2	0	0.75	3.30162925146901e-16
WNT2B	2	0	0.75	1.98097755088141e-16
TFPI	1	0	0.6	9.90488775440704e-17
PBX4	1	0	0.6	9.90488775440704e-17
LCAT	1	0	1	1.65081462573451e-16
GABRB2	1	0	1	1.65081462573451e-16
ABCA6	1	0	1	1.65081462573451e-16
WDR90	1	0	1	1.98097755088141e-16
ADH1B	1	0	0.666666666666667	1.65081462573451e-16
RMI2	1	0	1	1.98097755088141e-16
DNAH17	1	0	1	1.65081462573451e-16
AGAP4	1	0	1	1.65081462573451e-16
MAN2C1	1	0	1	1.98097755088141e-16
APOD	1	0	1	1.65081462573451e-16
HOXB3	1	0	0.6	9.90488775440704e-17
MAB21L1	1	0	0.6	1.3206517005876e-16
GABBR1	1	0	1	1.3206517005876e-16
ABCA9	1	0	1	1.65081462573451e-16
C19orf71	1	0	1	1.3206517005876e-16
TOP3B	1	0	1	1.98097755088141e-16
DNAH1	1	0	1	1.65081462573451e-16
ADH4	1	0	0.666666666666667	9.90488775440704e-17
AGAP6	1	0	1	1.98097755088141e-16
ENGASE	1	0	1	1.65081462573451e-16
