gene	degree	betweenness
FN1	9	0.0648621767547599
CDT1	5	0.0358056265984655
CDH2	5	0.0190394998579142
SDC1	5	0.0140664961636829
CCND1	4	0.0780761579994317
TK1	4	0.0471014492753623
PCLAF	4	0.0217391304347826
CENPM	4	0.0168371696504689
MET	4	0.0110826939471441
FGF17	4	0.00120772946859903
E2F1	3	0.0816283034953112
GINS2	3	0.00703324808184143
SDC4	3	0.00177607274793976
MEIS1	3	0.00127877237851662
ITIH4	2	0.0110826939471441
DPP4	2	0.0110826939471441
LCAT	2	0.000852514919011083
ADCY4	2	0.000852514919011083
ENTPD1	2	0.000852514919011083
PLD4	2	0.000852514919011083
DSG2	2	0.000426257459505541
CX3CR1	2	0.000426257459505541
ALDH3B1	2	0.000426257459505541
CLDN16	2	0
CLDN1	2	0
FEN1	2	0
CLDN9	2	0
MDK	2	0
ADAT2	1	0
PBX4	1	0
HCN4	1	0
KCNQ4	1	0
ASF1B	1	0
CDH3	1	0
LAMC2	1	0
SLIT1	1	0
REN	1	0
GABRB2	1	0
ABCA6	1	0
ADCY8	1	0
CXCL16	1	0
ADH1B	1	0
CATSPER1	1	0
NFASC	1	0
PLA2G12B	1	0
DNAH17	1	0
ADH4	1	0
CENPT	1	0
PERP	1	0
CXADR	1	0
HCN3	1	0
GJB3	1	0
APOD	1	0
LAMB3	1	0
SCD5	1	0
ROBO3	1	0
HOXB3	1	0
MAB21L1	1	0
GABBR1	1	0
ABCA9	1	0
UHRF1	1	0
MOK	1	0
CKS2	1	0
TMEM262	1	0
TGFA	1	0
NRCAM	1	0
SERPINA1	1	0
TREM2	1	0
ADK	1	0
DNAH1	1	0
