gene	community
CENPM	1
CCND1	2
ADAT2	1
PBX4	5
GINS2	1
DSG2	7
HCN4	9
KCNQ4	10
ASF1B	1
LCAT	3
CDH3	2
LAMC2	14
CLDN16	15
ITIH4	2
SLIT1	11
CDH2	2
REN	2
MEIS1	5
GABRB2	18
ABCA6	17
ADCY8	4
CXCL16	6
CLDN1	15
PCLAF	1
CDT1	1
ADH1B	8
CATSPER1	13
ADCY4	4
MET	2
NFASC	12
E2F1	1
FN1	2
CX3CR1	6
FGF17	2
ENTPD1	4
SDC4	2
PLA2G12B	3
SDC1	2
DNAH17	16
ADH4	8
TK1	1
CENPT	1
FEN1	1
PERP	7
CXADR	7
HCN3	9
GJB3	10
APOD	3
PLD4	3
LAMB3	14
CLDN9	15
SCD5	2
ROBO3	11
DPP4	2
HOXB3	5
MAB21L1	5
GABBR1	18
ABCA9	17
UHRF1	1
MOK	1
CKS2	1
ALDH3B1	8
TMEM262	13
TGFA	2
NRCAM	12
SERPINA1	2
TREM2	6
ADK	4
MDK	2
DNAH1	16
