from	to	score
CENPM	PCLAF	0.739
CENPM	TK1	0.74
CENPM	GINS2	0.835
CENPM	CENPT	0.999
CCND1	CDH2	0.726
CCND1	FN1	0.743
CCND1	SDC1	0.772
CCND1	E2F1	0.938
ADAT2	TK1	0.754
PBX4	MEIS1	0.79
GINS2	FEN1	0.741
GINS2	CDT1	0.906
DSG2	PERP	0.717
DSG2	CXADR	0.733
HCN4	HCN3	0.879
KCNQ4	GJB3	0.931
ASF1B	PCLAF	0.772
LCAT	APOD	0.859
LCAT	PLD4	0.907
CDH3	CDH2	0.885
LAMC2	LAMB3	0.999
CLDN16	CLDN9	0.788
CLDN16	CLDN1	0.831
ITIH4	FN1	0.868
ITIH4	SCD5	0.997
SLIT1	ROBO3	0.947
CDH2	MET	0.75
CDH2	FN1	0.86
CDH2	FGF17	0.881
REN	DPP4	0.705
MEIS1	HOXB3	0.798
MEIS1	MAB21L1	0.87
GABRB2	GABBR1	0.702
ABCA6	ABCA9	0.79
ADCY8	ADCY4	0.945
CXCL16	CX3CR1	0.972
CLDN1	CLDN9	0.802
PCLAF	TK1	0.82
PCLAF	UHRF1	0.854
CDT1	MOK	0.783
CDT1	FEN1	0.804
CDT1	E2F1	0.833
CDT1	CKS2	0.864
ADH1B	ALDH3B1	0.819
CATSPER1	TMEM262	0.856
ADCY4	ENTPD1	0.702
MET	FN1	0.745
MET	TGFA	0.85
MET	FGF17	0.865
NFASC	NRCAM	0.97
E2F1	TK1	0.836
FN1	FGF17	0.798
FN1	SERPINA1	0.825
FN1	DPP4	0.983
FN1	SDC1	0.999
FN1	SDC4	0.999
CX3CR1	TREM2	0.767
FGF17	SDC1	0.761
ENTPD1	ADK	0.959
SDC4	MDK	0.715
SDC4	SDC1	0.947
PLA2G12B	PLD4	0.711
SDC1	MDK	0.825
DNAH17	DNAH1	0.919
ADH4	ALDH3B1	0.875
