gene_symbol	logFC	adj.P.Val	t	regulation
AC009065.4	11.3187894841272	0	143.128116761029	Up
HMGN2P17	8.31959257552495	0	80.5400782730212	Up
SOX10	-8.84329375320053	1.08319465672773e-303	-62.7279411177713	Down
RP11-64K7.1	7.15152371351777	3.86710659987174e-301	62.1378447960783	Up
CLASRP	-2.40856651481207	3.14003307435539e-297	-61.2617825728623	Down
ABCA10	-5.09585061951658	1.31097251019207e-278	-57.2781829222164	Down
HMGN1P37	10.2009188172044	1.56682484988456e-278	57.248080340832	Up
HNRNPCP2	3.37103550947266	6.95093335557093e-278	57.1012211406092	Up
HIF3A	-5.47076197516648	1.43306610725772e-268	-55.1720057737416	Down
RP11-40C6.2	14.5784017409116	1.25625983672908e-265	54.5603932919116	Up
ADAM33	-5.76742209421413	1.25625983672908e-265	-54.5543079013502	Down
ABCA9	-6.15910459549418	1.25625983672908e-265	-54.5486471207988	Down
CHRD	-4.12894455325148	1.11752430990019e-256	-52.7466789554992	Down
EEF1A1P16	6.24655256656438	8.37383811827959e-256	52.566694999554	Up
WDR27	-3.06752954539949	7.44725813114859e-251	-51.5845849701919	Down
RP11-10G12.1	9.67728867127506	6.0323188822266e-249	51.2053521457807	Up
LGI4	-4.3952182411675	2.46851562351956e-248	-51.0806883288179	Down
PID1	-4.93619745679076	2.98836249802671e-248	-51.059645788032	Down
RUSC1-AS1	-3.17391628904255	9.92472064057896e-245	-50.3704279545917	Down
DNHD1	-3.1812536930364	6.03086330486952e-244	-50.2144220032368	Down
RP11-197N18.2	-3.4052339413723	1.03353760484186e-243	-50.1650882912265	Down
EEF1A1P9	3.91052953789049	9.85195800456085e-243	49.9720873871554	Up
CSPG4P12	-3.50464438044041	1.39532033917285e-242	-49.9392082808017	Down
CFD	-4.94516493855613	1.87740814066582e-242	-49.9107917713932	Down
EME2	-3.18830359062986	4.67038452973095e-241	-49.6386551557268	Down
ADCY4	-3.55739797747061	2.01287665102157e-239	-49.3216792354438	Down
TRIM3	-2.50995267537126	1.52926381691149e-238	-49.149942995736	Down
N4BP2L2-IT2	-3.25718997055817	4.32519460756726e-237	-48.8696926592365	Down
RP11-66N24.3	-3.67426378008198	4.96327120574644e-235	-48.4747625948935	Down
RP11-188P20.3	-4.01959359319003	2.03480680119998e-233	-48.1661327689572	Down
DNAH1	-2.28970307587771	4.66574257880995e-232	-47.9062130292096	Down
PMP2	-6.75193935611891	2.1027698929089e-231	-47.7802204957881	Down
TMEM262	-2.74841688428063	3.22702375218492e-231	-47.7426285442216	Down
POM121L9P	-4.40213371735798	5.60408363549232e-231	-47.695009013381	Down
RNF112	-4.35822857142865	2.9612891859852e-230	-47.5565111218248	Down
RP11-7F17.8	-3.18069717101899	6.28454661015056e-228	-47.1173988988698	Down
HMGN1P36	9.23619738863299	7.85815873694479e-228	47.096993964755	Up
KIAA0895L	-3.37448864567338	1.42409874284623e-227	-47.0464800690375	Down
RP5-966M1.6	-4.04117130056331	4.24820186961406e-227	-46.9555635131434	Down
CPLX1	-3.48742066052233	4.61071696343381e-227	-46.9468571636051	Down
TIAF1	-3.15091335125451	7.77580980530073e-227	-46.9024197085627	Down
ASIC3	-4.07902775217621	1.24875519643919e-226	-46.8620197322789	Down
NPIPB5	-3.51189833589355	1.4655565704893e-226	-46.8471223524271	Down
TIMP4	-5.74627597286233	1.84342676646938e-226	-46.8266498012383	Down
ABCA6	-4.78368004992326	2.898007994446e-226	-46.7881409041167	Down
RP11-106M3.3	-2.96928739119308	7.80391478815385e-226	-46.7060772874374	Down
SH3BP5-AS1	-3.56589280593964	1.99864886559643e-225	-46.6281810961017	Down
RP11-1029M24.1	6.7329307987713	1.62506252554323e-224	46.4569884550067	Up
LY6G5B	-3.62050954301081	2.24899084601136e-224	-46.4290692193351	Down
AC012314.8	-3.35725215053771	3.56594887218396e-224	-46.3902074693253	Down
SPRR2E	-7.15234359319021	8.87512909761921e-224	-46.3150049255888	Down
ADGRG3	-5.13404563492071	1.12528455617212e-223	-46.2942866614043	Down
SEC31B	-3.40637841141838	3.85130188867542e-223	-46.1935410665712	Down
RP11-793H13.10	-3.37458497183825	2.3575412698113e-222	-46.0461261298373	Down
TMEM120B	-2.68567513440865	2.51979668002394e-222	-46.0392934890801	Down
CTA-228A9.3	-3.72865349462369	2.5256142708298e-221	-45.8525476924928	Down
RP11-66N24.4	-3.09539581413215	5.53348238686203e-221	-45.7881507336502	Down
PAN2	-3.22141722350236	4.49300107895291e-219	-45.4344574671976	Down
RP11-79P5.3	6.17859659498218	1.37221701732131e-218	45.3438290706181	Up
DNAH17	-2.46292498307727	2.53125581561e-218	-45.2935690444077	Down
CCDC116	-3.45494748463909	4.80585483440211e-218	-45.2410545107231	Down
FAM65C	-4.86974731822845	1.65396978665614e-217	-45.1411400986502	Down
RP11-228B15.4	-3.48113342933952	3.08101924234871e-217	-45.090264247771	Down
PTGIR	-3.6824957117256	3.46551021071142e-217	-45.079635335636	Down
RP11-186B7.4	-2.75593557987715	4.27665969702025e-217	-45.0616384396747	Down
GABBR1	-3.05730501152078	5.36975164578596e-217	-45.0422854539412	Down
PRSS53	-3.82877014208915	5.96719785422701e-217	-45.032682425828	Down
ZNF37BP	-2.72771018945217	2.962209665513e-216	-44.9039376459157	Down
PBX4	-3.98758774961604	7.39929278619714e-215	-44.6470533121948	Down
MYL1	-8.30232692652357	1.61020778475174e-214	-44.584218486973	Down
RP11-619A14.2	-7.69906130952388	2.14301637142677e-214	-44.5604232331923	Down
LPIN3	-2.78506651945728	2.43771420958249e-214	-44.5490973932176	Down
PLAGL1	-2.99902651418592	2.75771252850766e-214	-44.5382246011705	Down
ENGASE	-2.88597507040455	5.30375919003909e-214	-44.4853082572899	Down
GRIA1	-6.39404567332317	5.71206355855628e-214	-44.4783679940749	Down
LEAP2	-3.10107797619052	1.71954186408463e-213	-44.3900342201686	Down
SPAG5-AS1	-3.13545633000516	2.31329471047432e-213	-44.3655201009598	Down
AC007038.7	-3.14248262928832	5.56061922141337e-213	-44.2951069814418	Down
RP5-1142A6.9	-3.27267868663599	9.18731775311548e-213	-44.2543931460121	Down
ARHGAP33	-3.52669791986693	1.22205690589957e-212	-44.2308449723637	Down
CTD-2517M22.14	-4.0705034242192	1.55041616536435e-212	-44.2110532340949	Down
CENPT	-2.63473285970306	1.95668157764432e-212	-44.1916930652437	Down
SLC23A3	-3.56394886072713	2.3495006602348e-212	-44.1762804759946	Down
MEG3	-5.99946370116997	3.91471638819217e-212	-44.135008407636	Down
CTD-2013N17.6	-3.42988214925761	3.92046497579006e-212	-44.1339579489255	Down
APOD	-6.11162437916036	4.0249066654041e-212	-44.130958098723	Down
RP3-329A5.8	-3.07762911546344	1.09112507172112e-211	-44.0513213946554	Down
PPT2-EGFL8	-3.05888170122893	1.42841464725797e-211	-44.0291677818127	Down
