gene_symbol	logFC	adj.P.Val	t	regulation
AC009065.4	11.3187894841272	0	143.128116761029	Up
HMGN2P17	8.31959257552495	0	80.5400782730212	Up
RP11-64K7.1	7.15152371351777	3.86710659987174e-301	62.1378447960783	Up
HMGN1P37	10.2009188172044	1.56682484988456e-278	57.248080340832	Up
HNRNPCP2	3.37103550947266	6.95093335557093e-278	57.1012211406092	Up
RP11-40C6.2	14.5784017409116	1.25625983672908e-265	54.5603932919116	Up
EEF1A1P16	6.24655256656438	8.37383811827959e-256	52.566694999554	Up
RP11-10G12.1	9.67728867127506	6.0323188822266e-249	51.2053521457807	Up
EEF1A1P9	3.91052953789049	9.85195800456085e-243	49.9720873871554	Up
HMGN1P36	9.23619738863299	7.85815873694479e-228	47.096993964755	Up
RP11-1029M24.1	6.7329307987713	1.62506252554323e-224	46.4569884550067	Up
RP11-79P5.3	6.17859659498218	1.37221701732131e-218	45.3438290706181	Up
RP11-667K14.4	10.7329617447519	2.78867159735269e-210	43.7881539237132	Up
HNRNPA1P4	6.90706488095247	1.19619846401089e-208	43.4887463290981	Up
UBE2D3P2	7.46145439708148	1.23169431169119e-205	42.9397706040163	Up
EEF1A1P7	5.71727313108044	1.08690135987103e-198	41.6726818859138	Up
EEF1A1P12	3.67173259088588	6.7974545738998e-196	41.1661729264879	Up
MANEAL	2.5602931899642	5.47746600602141e-189	39.9311729895554	Up
RP11-73M18.2	9.44598430619575	1.39788766106603e-188	39.8590142209279	Up
RPL10P3	7.28641385688692	3.40374421446314e-184	39.0830402599156	Up
METTL7B	4.60070301459301	2.59233655843581e-183	38.9264161587863	Up
RMI2	3.03270988223251	2.72405469676628e-183	38.9221496134275	Up
RPL12P38	5.81483037634418	6.08712162638548e-183	38.8607953947795	Up
RPL13AP3	5.57487483998982	3.56304526200812e-180	38.3741910445975	Up
RP11-452D2.2	6.31475898617521	1.84160196647028e-178	38.0740589878657	Up
LIPH	6.18495905657971	5.11650768066544e-177	37.8214563472387	Up
RPS2P55	3.15178373655919	1.17826580932182e-176	37.7579320371514	Up
AP000251.3	6.19710497951881	1.18421131749192e-175	37.582976176222	Up
ASF1B	2.69866589861755	2.69601800466055e-174	37.3467436447877	Up
GABRB2	6.24695064644147	1.27570898158423e-173	37.2294638657738	Up
HIST1H3PS1	6.54731374807994	6.14749524608971e-173	37.11096988434	Up
GOLT1A	4.14317457117262	2.22507958362929e-172	37.0138576705055	Up
EIF5AP4	7.52454215309794	1.24181792013189e-171	36.8843906883681	Up
EEF1A1P29	5.36505392345118	1.47959119911588e-170	36.6982564813009	Up
QPCT	4.09715903097805	2.47719946169809e-170	36.6591127552319	Up
FTH1P7	2.67720835893502	3.4465018158037e-170	36.6343419397298	Up
RPS7P4	5.87594365719416	1.02312039053423e-169	36.5530202343989	Up
NAP1L1P3	5.52966726830522	2.08759802755243e-167	36.1556444726036	Up
AC006386.1	6.13879468766009	1.53294553338811e-166	36.0068617742844	Up
RPL17P22	6.1112106502817	1.89202535800232e-163	35.4760069042036	Up
KLHDC8A	4.49086706349214	9.4097147606766e-163	35.3569550408634	Up
NPC2	2.761306483615	1.32689478297889e-162	35.331610997071	Up
PPIAP22	1.89512190860218	1.29282516171083e-160	34.9922696879934	Up
AC000089.3	2.9807487071173	2.11135337799254e-156	34.2746539273573	Up
RP11-1E11.1	5.58241095750137	2.9383717819675e-156	34.2503515995007	Up
E2F1	2.16930267537126	2.86369419797806e-155	34.0821922887909	Up
HCN4	5.73045538274457	9.86821667033028e-155	33.9911218250082	Up
RP11-320N7.2	7.26158744239646	5.52922858814518e-154	33.8639498019225	Up
RPS28P7	2.05518318612394	3.07614668035926e-153	33.7374345203753	Up
CKS2	2.34581997567848	7.4723364873507e-152	33.5035947034442	Up
RP11-355K23B.1	4.92914272273435	4.10376232879194e-151	33.3783591379102	Up
CDH3	4.24090508832572	6.53731461804313e-150	33.1750138024767	Up
OCIAD2	1.87561433691759	1.91263853616657e-149	33.0963816965066	Up
CDT1	2.41767292626732	2.03654799266026e-149	33.0917487904767	Up
FIBCD1	7.1019966781875	6.9957656735528e-149	33.0011132349242	Up
RPL37P6	7.54285951740923	7.58759479720681e-149	32.9950639975603	Up
CLDN16	5.85621540673757	4.60859050969952e-148	32.8637810174273	Up
CSF2	8.00793843445989	8.1884360474832e-148	32.8217057709959	Up
UBE2SP2	7.09970576036876	4.02146500143377e-147	32.7050739585749	Up
RP11-215A21.2	4.39629499487975	4.03884514742932e-147	32.7046799405616	Up
HAPLN1	5.88607451996935	5.10148510218403e-147	32.6876362319992	Up
RPL7AP30	1.79258773041478	7.37712081616948e-146	32.492103077175	Up
GINS2	2.05313250128012	1.25129925165125e-145	32.4534829617527	Up
CTC-366B18.2	6.95166536738365	2.24898309541673e-145	32.4104620899945	Up
TGFA	2.70686073988739	6.61841700851034e-145	32.3318808476732	Up
CCND1	2.25657284306199	2.68001514492343e-144	32.2300123437235	Up
DUSP4	2.72863086917567	9.73681385831502e-144	32.1357218278582	Up
S100A1	2.78715001280086	3.0154511083276e-143	32.0535120021932	Up
HSPB1P1	7.57890498591921	3.51130582099647e-143	32.0423214711578	Up
AC079630.2	8.88222652969805	3.8383331689094e-143	32.0358317322881	Up
TMEM215	7.60706309523819	6.79455852677556e-143	31.9942488761599	Up
DRAXIN	4.55056958525352	9.25620385540692e-141	31.6371399990445	Up
RPL7P47	5.6910008000513	1.41244259859111e-139	31.4388551607137	Up
SLC27A2	2.41902759216593	2.41725183841005e-139	31.3998339984986	Up
LAD1	2.66682625448033	6.1435498901918e-138	31.165369448392	Up
SDC1	2.24206024065544	2.93083036756375e-137	31.0521623963035	Up
SCEL	4.33357389912961	3.18590876486391e-137	31.0459803770801	Up
CITED1	5.14701470814139	1.0063054829354e-136	30.962802172181	Up
DPP4	4.55051756272408	2.41309602462976e-135	30.7321666119519	Up
RPL23AP61	5.66329473246294	8.11809347283329e-135	30.6444004595055	Up
REN	6.20283853686646	9.98004830616977e-135	30.6292978442211	Up
RPL7P6	5.1978938812085	1.92328696935194e-134	30.5815001920189	Up
ABCC6P1	2.85991771633389	2.41439850854027e-134	30.564905449486	Up
SERPINA1	4.88056797875072	8.65990063928402e-134	30.4724991065168	Up
PVRL4	4.47022351510503	1.85050220457595e-133	30.417574595462	Up
PRR15	5.15172782898113	7.93314521468585e-133	30.3123371247755	Up
LAMC2	2.23385414746547	8.50416785258174e-133	30.307245178465	Up
YWHAEP5	5.34535214413732	4.26022113432471e-132	30.1903979166147	Up
PLA2G12B	6.7727899001537	3.62427930468937e-130	29.869498041909	Up
KRT8P32	4.53709333717367	2.82933837006008e-129	29.7210808847649	Up
ZCCHC16	7.38026607142866	6.79941449515063e-129	29.6577017219388	Up
MET	2.87461461853563	3.09115492626892e-128	29.548093550715	Up
HMGA2	5.10800999103951	3.28127716860466e-128	29.5437754513928	Up
