condition	marker	expr
Normal	EPCAM	7.43499211469534
THCA	EPCAM	8.60958432539683
Normal	KRT19	4.82089964157706
THCA	KRT19	7.26816805555556
Normal	TG	13.8819551971326
THCA	TG	13.3550761904762
Normal	TPO	10.9566247311828
THCA	TPO	6.98414107142857
Normal	DIO1	5.9357523297491
THCA	DIO1	2.99432341269841
Normal	DIO2	5.66526344086022
THCA	DIO2	5.05110674603175
Normal	PTPRC	2.59842329749104
THCA	PTPRC	2.08006984126984
Normal	CD68	3.90459677419355
THCA	CD68	4.97600634920635
Normal	CD3D	1.40913799283154
THCA	CD3D	1.9474998015873
Normal	CD79A	-0.611376344086022
THCA	CD79A	0.86393253968254
Normal	COL1A1	5.92264086021505
THCA	COL1A1	6.01295634920635
Normal	COL1A2	7.21939032258065
THCA	COL1A2	6.49628511904762
Normal	DCN	9.21513225806452
THCA	DCN	4.82408115079365
Normal	VIM	10.4471172043011
THCA	VIM	10.7295861111111
Normal	ACTA2	8.02066917562724
THCA	ACTA2	6.83405694444445
Normal	PECAM1	6.08891182795699
THCA	PECAM1	4.97303869047619
Normal	MYH7	-0.00279713261648745
THCA	MYH7	-7.01016587301587
Normal	MYL1	-0.996360573476703
THCA	MYL1	-9.2986875
Normal	MYL2	1.81674659498208
THCA	MYL2	-6.8732373015873
Normal	ACTA1	2.26024265232975
THCA	ACTA1	-4.90725972222222
Normal	TNNT3	2.47963010752688
THCA	TNNT3	-2.28785416666667
Normal	CKM	1.59744301075269
THCA	CKM	-5.32255099206349
