sample	mean	median	sd	condition	source
GTEX-OHPL-2626-SM-2HMJA	-4.72197591027808	-9.9658	5.99198664631968	Normal	GTEx
GTEX-YEC3-0826-SM-5P9JF	-4.81602486471723	-9.9658	5.85295436311507	Normal	GTEx
GTEX-WOFL-0726-SM-3MJG4	-4.47927349823322	-9.9658	6.15003785834199	Normal	GTEx
GTEX-11GSP-0126-SM-5A5KU	-4.35508189003261	-5.5735	6.06549470095834	Normal	GTEx
GTEX-YEC3-0826-SM-4WWFP	-4.79277167682354	-9.9658	5.87236276038698	Normal	GTEx
GTEX-ZLFU-0626-SM-4WWBO	-4.51997165463205	-9.9658	6.14573987265289	Normal	GTEx
GTEX-WEY5-0526-SM-3GIKZ	-4.65879303699152	-9.9658	6.10418063219718	Normal	GTEx
GTEX-RU72-0126-SM-2TF6Z	-4.37551775319643	-9.9658	6.25328895103304	Normal	GTEx
GTEX-11DXY-0426-SM-5H12R	-4.32788289035694	-9.9658	6.16557549814753	Normal	GTEx
GTEX-13VXU-0826-SM-5KLZ2	-4.56429696317919	-9.9658	6.15418890101296	Normal	GTEx
GTEX-13OW8-0126-SM-5IJE5	-4.51527867226575	-9.9658	6.04463810865058	Normal	GTEx
GTEX-Q2AH-0726-SM-2I3EA	-4.32944046704563	-6.5064	6.13156793602002	Normal	GTEx
GTEX-ZDTS-0926-SM-4WAXG	-4.42591953534423	-9.9658	6.1982693057497	Normal	GTEx
GTEX-ZYFC-0926-SM-5GZWW	-4.51066193304997	-9.9658	6.17046917319334	Normal	GTEx
GTEX-13FHP-0926-SM-5L3EC	-4.39290101739472	-9.9658	6.23531529480922	Normal	GTEx
GTEX-145LU-0426-SM-5O9AH	-4.28006370495553	-6.5064	6.17336521824554	Normal	GTEx
GTEX-REY6-0526-SM-2TF5M	-4.55938718185077	-9.9658	6.28965575829697	Normal	GTEx
GTEX-11EM3-0126-SM-5985K	-4.5231679845001	-9.9658	6.02791979573464	Normal	GTEx
GTEX-11DXX-0226-SM-5P9HL	-4.60342278725184	-9.9658	5.99038185495904	Normal	GTEx
GTEX-PWN1-2626-SM-2I3FH	-4.53992645567676	-9.9658	6.13467939154905	Normal	GTEx
GTEX-12584-0826-SM-5FQSK	-4.33569885969854	-9.9658	6.16853824438418	Normal	GTEx
GTEX-13111-0226-SM-5EQ55	-4.53259376760383	-9.9658	6.13225659967381	Normal	GTEx
GTEX-11ZVC-0126-SM-5986G	-4.24723289121046	-5.5735	6.14401129662804	Normal	GTEx
GTEX-Q2AI-0326-SM-2I3EK	-4.3579324542087	-5.5735	6.061406627173	Normal	GTEx
GTEX-11O72-2326-SM-5BC7H	-4.60251481367679	-9.9658	6.15949747007867	Normal	GTEx
GTEX-139TS-0126-SM-5K7XJ	-4.51225106604531	-9.9658	6.19533844275812	Normal	GTEx
GTEX-RM2N-0526-SM-2TF4N	-4.61001187245011	-9.9658	6.24729912013069	Normal	GTEx
GTEX-13112-0326-SM-5P9IW	-3.94379481743227	-3.816	6.09857933356264	Normal	GTEx
GTEX-11EMC-0226-SM-5EGLP	-4.5100823150851	-9.9658	6.10795430210622	Normal	GTEx
GTEX-132NY-1026-SM-5P9IY	-4.32469998292962	-6.5064	6.14343978554512	Normal	GTEx
GTEX-YFC4-2626-SM-5P9FQ	-4.11569973199502	-4.6082	6.09413460260777	Normal	GTEx
GTEX-11GS4-0826-SM-5986J	-4.35043180212014	-9.9658	6.12478326784285	Normal	GTEx
GTEX-ZDYS-0626-SM-5J2N5	-4.29963752752599	-5.5735	6.1348947592365	Normal	GTEx
GTEX-11TT1-1126-SM-5P9GV	-4.61049333572319	-9.9658	6.03604502158767	Normal	GTEx
GTEX-WVLH-0626-SM-3MJG7	-4.49875714480804	-9.9658	6.15937854821122	Normal	GTEx
GTEX-WY7C-0226-SM-3NB37	-4.48733000290197	-9.9658	6.09677671883834	Normal	GTEx
GTEX-13O3Q-0626-SM-5IJG1	-4.37847235451768	-9.9658	6.17090399501519	Normal	GTEx
GTEX-ZLWG-0526-SM-4WWFB	-4.54157816698247	-9.9658	6.04050055890212	Normal	GTEx
GTEX-111VG-0526-SM-5N9BW	-4.53222179375566	-9.9658	6.01766066798319	Normal	GTEx
GTEX-S4Q7-0326-SM-3K2B1	-4.36525443915263	-9.9658	6.11889131255447	Normal	GTEx
GTEX-13G51-1226-SM-5K7Z3	-4.4706036633038	-9.9658	6.21240743221126	Normal	GTEx
