sample	mahalanobis	is_outlier	condition	source
GTEX-OHPL-2626-SM-2HMJA	7.91953873483969	FALSE	Normal	GTEx
GTEX-YEC3-0826-SM-5P9JF	2.12621235224128	FALSE	Normal	GTEx
GTEX-WOFL-0726-SM-3MJG4	4.21823176040094	FALSE	Normal	GTEx
GTEX-11GSP-0126-SM-5A5KU	6.71846857056589	FALSE	Normal	GTEx
GTEX-YEC3-0826-SM-4WWFP	1.69800452573066	FALSE	Normal	GTEx
GTEX-ZLFU-0626-SM-4WWBO	3.2695132977271	FALSE	Normal	GTEx
GTEX-WEY5-0526-SM-3GIKZ	2.76158374979813	FALSE	Normal	GTEx
GTEX-RU72-0126-SM-2TF6Z	4.73701357060255	FALSE	Normal	GTEx
GTEX-11DXY-0426-SM-5H12R	3.92449587303574	FALSE	Normal	GTEx
GTEX-13VXU-0826-SM-5KLZ2	2.60380507517089	FALSE	Normal	GTEx
GTEX-13OW8-0126-SM-5IJE5	3.10841693921265	FALSE	Normal	GTEx
GTEX-Q2AH-0726-SM-2I3EA	5.79344856452445	FALSE	Normal	GTEx
GTEX-ZDTS-0926-SM-4WAXG	5.91814483691188	FALSE	Normal	GTEx
GTEX-ZYFC-0926-SM-5GZWW	3.64595089139868	FALSE	Normal	GTEx
GTEX-13FHP-0926-SM-5L3EC	3.75427916817449	FALSE	Normal	GTEx
GTEX-145LU-0426-SM-5O9AH	5.97353787685942	FALSE	Normal	GTEx
GTEX-REY6-0526-SM-2TF5M	4.32378457672868	FALSE	Normal	GTEx
GTEX-11EM3-0126-SM-5985K	3.52999859579584	FALSE	Normal	GTEx
GTEX-11DXX-0226-SM-5P9HL	3.02339287979054	FALSE	Normal	GTEx
GTEX-PWN1-2626-SM-2I3FH	3.96926343760394	FALSE	Normal	GTEx
GTEX-12584-0826-SM-5FQSK	3.74519043290769	FALSE	Normal	GTEx
GTEX-13111-0226-SM-5EQ55	2.86960762689501	FALSE	Normal	GTEx
GTEX-11ZVC-0126-SM-5986G	4.24122073657907	FALSE	Normal	GTEx
GTEX-Q2AI-0326-SM-2I3EK	3.3782246714026	FALSE	Normal	GTEx
GTEX-11O72-2326-SM-5BC7H	3.30526651588701	FALSE	Normal	GTEx
GTEX-139TS-0126-SM-5K7XJ	3.14315001487313	FALSE	Normal	GTEx
GTEX-RM2N-0526-SM-2TF4N	4.11522667984317	FALSE	Normal	GTEx
GTEX-13112-0326-SM-5P9IW	9.53746792644762	FALSE	Normal	GTEx
GTEX-11EMC-0226-SM-5EGLP	3.70408044773043	FALSE	Normal	GTEx
GTEX-132NY-1026-SM-5P9IY	5.20575771402091	FALSE	Normal	GTEx
GTEX-YFC4-2626-SM-5P9FQ	11.5734069019021	FALSE	Normal	GTEx
GTEX-11GS4-0826-SM-5986J	3.23047645291662	FALSE	Normal	GTEx
GTEX-ZDYS-0626-SM-5J2N5	4.7989565627151	FALSE	Normal	GTEx
GTEX-11TT1-1126-SM-5P9GV	2.71974926242945	FALSE	Normal	GTEx
GTEX-WVLH-0626-SM-3MJG7	3.60051244408667	FALSE	Normal	GTEx
GTEX-WY7C-0226-SM-3NB37	3.59757223282626	FALSE	Normal	GTEx
GTEX-13O3Q-0626-SM-5IJG1	6.13039515379743	FALSE	Normal	GTEx
GTEX-ZLWG-0526-SM-4WWFB	2.9672578547693	FALSE	Normal	GTEx
GTEX-111VG-0526-SM-5N9BW	4.9111461247319	FALSE	Normal	GTEx
GTEX-S4Q7-0326-SM-3K2B1	5.86613261564612	FALSE	Normal	GTEx
GTEX-13G51-1226-SM-5K7Z3	5.05993941119051	FALSE	Normal	GTEx
GTEX-12WSB-0726-SM-5N9GD	6.12520532626825	FALSE	Normal	GTEx
GTEX-12WSC-0826-SM-5EQ5Q	3.96767989116006	FALSE	Normal	GTEx
GTEX-13NYB-0726-SM-5MR4J	7.92221962084248	FALSE	Normal	GTEx
GTEX-13OW6-0726-SM-5L3FX	2.82608214027422	FALSE	Normal	GTEx
GTEX-144GM-0226-SM-5Q5CB	3.61987798577	FALSE	Normal	GTEx
GTEX-13QBU-0626-SM-5J2OG	3.93338147278945	FALSE	Normal	GTEx
GTEX-W5WG-1426-SM-4KKZP	5.64901060059409	FALSE	Normal	GTEx
GTEX-ZTPG-0826-SM-5DUVC	2.17196275646926	FALSE	Normal	GTEx
GTEX-13S86-1126-SM-5RQJX	4.63083566870881	FALSE	Normal	GTEx
GTEX-WHPG-0226-SM-3NMB9	2.96260961108591	FALSE	Normal	GTEx
GTEX-13O1R-0826-SM-5J2MB	3.36796297006968	FALSE	Normal	GTEx
GTEX-N7MS-2326-SM-2HMLD	6.06705186413736	FALSE	Normal	GTEx
GTEX-ZVZQ-0626-SM-59HJU	9.53674699912025	FALSE	Normal	GTEx
GTEX-OXRP-0326-SM-5SI7J	3.62580554636664	FALSE	Normal	GTEx
GTEX-117YW-0126-SM-5EGGN	4.21061482715815	FALSE	Normal	GTEx
GTEX-13PVQ-0726-SM-5L3GI	3.48534754568626	FALSE	Normal	GTEx
GTEX-117XS-0526-SM-5987Q	3.95457501701375	FALSE	Normal	GTEx
GTEX-11LCK-0526-SM-5A5M9	3.7731797248983	FALSE	Normal	GTEx
GTEX-133LE-0326-SM-5P9G4	2.54901576087685	FALSE	Normal	GTEx
GTEX-13O3O-0926-SM-5KM1F	3.12640137795503	FALSE	Normal	GTEx
GTEX-WFG8-0426-SM-3GILD	2.77331695702634	FALSE	Normal	GTEx
GTEX-1212Z-0426-SM-5FQT6	5.40783520884519	FALSE	Normal	GTEx
GTEX-ZVP2-0426-SM-57WC2	2.83781554618445	FALSE	Normal	GTEx
GTEX-ZE7O-1126-SM-57WC8	8.61910695092331	FALSE	Normal	GTEx
GTEX-145ME-0126-SM-5S2QM	3.6992468594215	FALSE	Normal	GTEx
GTEX-13FTW-0626-SM-5IFEX	3.30952024336178	FALSE	Normal	GTEx
GTEX-11NUK-1026-SM-5HL5J	3.4185797896482	FALSE	Normal	GTEx
GTEX-12WSD-0926-SM-5GCNL	5.22446243684428	FALSE	Normal	GTEx
GTEX-111CU-0226-SM-5GZXC	3.37530039842202	FALSE	Normal	GTEx
GTEX-113JC-0126-SM-5EGJW	3.26969937912401	FALSE	Normal	GTEx
GTEX-OHPK-2626-SM-2HMK9	2.94134084786087	FALSE	Normal	GTEx
GTEX-13YAN-0926-SM-5O9C3	4.19165235454694	FALSE	Normal	GTEx
GTEX-WL46-0126-SM-3TW8I	5.91490910016301	FALSE	Normal	GTEx
GTEX-13FXS-0726-SM-5LZXJ	6.49122053451256	FALSE	Normal	GTEx
GTEX-OXRP-0326-SM-33HBJ	4.04456576407698	FALSE	Normal	GTEx
GTEX-YEC4-0626-SM-5CVLU	2.50781045151851	FALSE	Normal	GTEx
GTEX-OIZG-0226-SM-2TC5L	2.30740977509506	FALSE	Normal	GTEx
GTEX-14BMU-0226-SM-5S2QA	7.6749716817636	FALSE	Normal	GTEx
GTEX-13CF3-0926-SM-5LZZC	5.61274364006451	FALSE	Normal	GTEx
GTEX-13X6J-0826-SM-5LU32	6.50620374552661	FALSE	Normal	GTEx
GTEX-14ABY-0926-SM-5Q5DY	5.16631210669917	FALSE	Normal	GTEx
GTEX-SIU8-0626-SM-2XCDN	4.07473064856397	FALSE	Normal	GTEx
GTEX-Y5V6-0526-SM-4VBRV	2.14552311830137	FALSE	Normal	GTEx
GTEX-13O21-2226-SM-5MR3L	2.11426257032514	FALSE	Normal	GTEx
GTEX-RTLS-0626-SM-5SI7Z	3.94493037514843	FALSE	Normal	GTEx
GTEX-X4LF-0426-SM-3NMB5	2.90021955966499	FALSE	Normal	GTEx
GTEX-1128S-0126-SM-5H12S	2.88987668165201	FALSE	Normal	GTEx
GTEX-YJ89-0726-SM-5P9F7	10.090099103432	FALSE	Normal	GTEx
GTEX-ZLV1-0126-SM-4WWBZ	8.10169159115055	FALSE	Normal	GTEx
GTEX-ZZ64-0126-SM-5GZXA	5.14175981266521	FALSE	Normal	GTEx
GTEX-12696-0326-SM-5EGL4	3.06567293459772	FALSE	Normal	GTEx
GTEX-WXYG-0226-SM-3NB2Y	3.68615523105767	FALSE	Normal	GTEx
GTEX-145MG-0826-SM-5Q5C2	5.50546437627671	FALSE	Normal	GTEx
GTEX-P4QT-2626-SM-2I3FM	3.25450258443699	FALSE	Normal	GTEx
GTEX-Y3IK-0526-SM-4WWE3	5.9982619300615	FALSE	Normal	GTEx
GTEX-13FTY-0726-SM-5J2OH	3.4968681783304	FALSE	Normal	GTEx
GTEX-OOBK-2626-SM-2HMKY	2.37726447402574	FALSE	Normal	GTEx
GTEX-12WSN-0726-SM-5GCMS	4.0990361523065	FALSE	Normal	GTEx
GTEX-QDVN-0626-SM-2I3FP	3.68528002378882	FALSE	Normal	GTEx
GTEX-12WSJ-0326-SM-5GCMT	2.13633560454721	FALSE	Normal	GTEx
GTEX-132AR-1126-SM-5P9GA	2.75527389942536	FALSE	Normal	GTEx
GTEX-11XUK-0226-SM-5EQLW	8.21395375856916	FALSE	Normal	GTEx
GTEX-X8HC-0726-SM-46MWG	3.11667307273689	FALSE	Normal	GTEx
GTEX-11ZTS-1126-SM-5LU9X	3.59497524593478	FALSE	Normal	GTEx
GTEX-YF7O-0726-SM-4W213	2.37386268278837	FALSE	Normal	GTEx
GTEX-13X6H-0526-SM-5LU4Q	5.42203811551078	FALSE	Normal	GTEx
GTEX-132QS-0326-SM-5IJFN	2.6492301174393	FALSE	Normal	GTEx
GTEX-X15G-0526-SM-3NMB7	3.54032387434463	FALSE	Normal	GTEx
GTEX-111YS-0726-SM-5GZY8	2.27084452966642	FALSE	Normal	GTEx
GTEX-ZAK1-0726-SM-5HL8Q	4.14935773491865	FALSE	Normal	GTEx
GTEX-WYJK-1626-SM-3NM9J	3.15759797019695	FALSE	Normal	GTEx
GTEX-U8T8-2326-SM-3DB96	2.86948276175244	FALSE	Normal	GTEx
GTEX-12BJ1-0426-SM-5FQSO	3.93130142614566	FALSE	Normal	GTEx
