pathway	NES_full	padj_full	NES_removed	padj_removed	delta_NES	status	pathway_name
R-HSA-1474244	-1.05328949057596	0.656512450764404	-1.03384426192047	0.7608428908527	0.0194452286554949	NS	Extracellular matrix organization
R-HSA-3299685	1.15743600779001	0.638382315614592	1.14747881603246	0.69047619047619	-0.00995719175755472	NS	Detoxification of Reactive Oxygen Species
R-HSA-913531	NA	NA	NA	NA	NA	INDETERMINADO	Interferon Signaling
hsa00190	2.18477436949264	3.29218068753515e-07	2.17182957736978	2.82925016223904e-06	-0.0129447921228607	ROBUSTA	Oxidative phosphorylation
hsa03030	2.01404426755719	0.00477682423308201	2.0200395669824	0.00172595884191931	0.00599529942521526	ROBUSTA	DNA replication
hsa03050	2.82143874636592	1.82085945152562e-07	2.76323538818322	5.95657103709371e-07	-0.0582033581827006	ROBUSTA	Proteasome
hsa03440	-0.82699973540171	0.882810265039966	-0.829073421562697	0.911636945587563	-0.00207368616098691	NS	Homologous recombination
hsa04010	-1.06981611173978	0.638382315614592	-1.0745795998895	0.69047619047619	-0.00476348814971717	NS	MAPK signaling pathway
hsa04064	-1.00925409633672	0.782419495213229	-1.01397400787018	0.814731879091532	-0.00471991153346485	NS	NF-kappa B signaling pathway
hsa04066	-0.947639851851972	0.782419495213229	-0.936963402019033	0.884930602402721	0.0106764498329393	NS	HIF-1 signaling pathway
hsa04110	1.75113988561816	3.22243305058975e-06	1.79040090585771	1.43427675114215e-05	0.0392610202395571	ROBUSTA	Cell cycle
hsa04115	1.89078439571939	8.3567701780757e-05	1.87391735118227	0.000114937496812216	-0.0168670445371228	ROBUSTA	p53 signaling pathway
hsa04140	-0.766929297610013	0.973747588079754	-0.770454683762003	0.970107646781318	-0.00352538615199083	NS	Autophagy - animal
hsa04150	-1.06397580671634	0.656512450764404	-1.06877965270776	0.734652366863905	-0.00480384599142281	NS	mTOR signaling pathway
hsa04151	-1.06291607886192	0.638382315614592	-1.06889723700069	0.69047619047619	-0.00598115813877254	NS	PI3K-Akt signaling pathway
hsa04210	1.14563271734897	0.221568632834102	1.17658549142636	0.307485654536251	0.0309527740773912	NS	Apoptosis
hsa04216	0.905643244123759	0.782419495213229	0.884240715328381	0.891624106230848	-0.0214025287953776	NS	Ferroptosis
hsa04218	0.946465958760733	0.638382315614592	0.967304236556768	0.7608428908527	0.0208382777960353	NS	Cellular senescence
hsa04310	-1.02791280613181	0.731824041534957	-1.03183094241013	0.764761809447558	-0.00391813627831694	NS	Wnt signaling pathway
hsa04350	-0.937334650932559	0.782419495213229	-0.94131116249983	0.884930602402721	-0.00397651156727175	NS	TGF-beta signaling pathway
hsa04390	-0.766815684449546	0.973747588079754	-0.770964522316493	0.970107646781318	-0.0041488378669472	NS	Hippo signaling pathway
hsa04510	-0.982792383027502	0.782419495213229	-0.961089902975424	0.884930602402721	0.0217024800520776	NS	Focal adhesion
hsa04512	-1.24782900423867	0.315408297163622	-1.25172631288331	0.341262626262626	-0.00389730864464366	NS	ECM-receptor interaction
hsa04612	2.44021291067635	3.22243305058975e-06	2.39185375760604	8.83462779746159e-07	-0.048359153070312	ROBUSTA	Antigen processing and presentation
hsa04620	0.947708133990424	0.782419495213229	0.956697138592141	0.884930602402721	0.00898900460171703	NS	Toll-like receptor signaling pathway
hsa04630	-0.836674143896236	0.944294158901914	-0.839780587723014	0.970107646781318	-0.00310644382677783	NS	JAK-STAT signaling pathway
hsa04657	1.07541922134872	0.638382315614592	1.06145292275361	0.69047619047619	-0.0139662985951083	NS	IL-17 signaling pathway
hsa04668	-0.655552604592911	0.980236757624398	-0.658539550211944	0.976422193237684	-0.00298694561903257	NS	TNF signaling pathway
hsa04919	-0.994616651484511	0.782419495213229	-0.889554899529154	0.911636945587563	0.105061751955357	NS	Thyroid hormone signaling
hsa05216	1.04282117426549	0.704438025210084	-0.654965815316741	0.970107646781318	-1.69778698958223	NS	Thyroid cancer
