sample	muscle_score	condition
GTEX-OHPL-2626-SM-2HMJA	0.441916666666667	Normal
GTEX-YEC3-0826-SM-5P9JF	-1.09847291666667	Normal
GTEX-WOFL-0726-SM-3MJG4	1.9334625	Normal
GTEX-11GSP-0126-SM-5A5KU	5.4947125	Normal
GTEX-YEC3-0826-SM-4WWFP	-0.63179375	Normal
GTEX-ZLFU-0626-SM-4WWBO	-0.384891666666667	Normal
GTEX-WEY5-0526-SM-3GIKZ	0.467445833333333	Normal
GTEX-RU72-0126-SM-2TF6Z	0.922354166666667	Normal
GTEX-11DXY-0426-SM-5H12R	0.9357375	Normal
GTEX-13VXU-0826-SM-5KLZ2	0.11829375	Normal
GTEX-13OW8-0126-SM-5IJE5	-0.234120833333333	Normal
GTEX-Q2AH-0726-SM-2I3EA	-0.363402083333333	Normal
GTEX-ZDTS-0926-SM-4WAXG	0.257264583333333	Normal
GTEX-ZYFC-0926-SM-5GZWW	1.12093958333333	Normal
GTEX-13FHP-0926-SM-5L3EC	1.04013125	Normal
GTEX-145LU-0426-SM-5O9AH	-0.0883	Normal
GTEX-REY6-0526-SM-2TF5M	0.382722916666667	Normal
GTEX-11EM3-0126-SM-5985K	-0.0704583333333333	Normal
GTEX-11DXX-0226-SM-5P9HL	-0.27373125	Normal
GTEX-PWN1-2626-SM-2I3FH	-0.314983333333333	Normal
GTEX-12584-0826-SM-5FQSK	0.552964583333333	Normal
GTEX-13111-0226-SM-5EQ55	0.67360625	Normal
GTEX-11ZVC-0126-SM-5986G	0.1139125	Normal
GTEX-Q2AI-0326-SM-2I3EK	-0.20701875	Normal
GTEX-11O72-2326-SM-5BC7H	-0.3946125	Normal
GTEX-139TS-0126-SM-5K7XJ	0.870410416666667	Normal
GTEX-RM2N-0526-SM-2TF4N	0.298685416666667	Normal
GTEX-13112-0326-SM-5P9IW	-0.545877083333333	Normal
GTEX-11EMC-0226-SM-5EGLP	0.27343125	Normal
GTEX-132NY-1026-SM-5P9IY	-0.9501875	Normal
GTEX-YFC4-2626-SM-5P9FQ	-0.39023125	Normal
GTEX-11GS4-0826-SM-5986J	0.236825	Normal
GTEX-ZDYS-0626-SM-5J2N5	0.0744708333333333	Normal
GTEX-11TT1-1126-SM-5P9GV	-0.956404166666667	Normal
GTEX-WVLH-0626-SM-3MJG7	-0.0836833333333333	Normal
GTEX-WY7C-0226-SM-3NB37	-0.1252	Normal
GTEX-13O3Q-0626-SM-5IJG1	-0.379254166666667	Normal
GTEX-ZLWG-0526-SM-4WWFB	-0.593089583333333	Normal
GTEX-111VG-0526-SM-5N9BW	-1.08827291666667	Normal
GTEX-S4Q7-0326-SM-3K2B1	0.537547916666667	Normal
GTEX-13G51-1226-SM-5K7Z3	0.69908125	Normal
GTEX-12WSB-0726-SM-5N9GD	-0.380777083333333	Normal
GTEX-12WSC-0826-SM-5EQ5Q	0.613791666666667	Normal
GTEX-13NYB-0726-SM-5MR4J	-0.637741666666667	Normal
GTEX-13OW6-0726-SM-5L3FX	0.45480625	Normal
GTEX-144GM-0226-SM-5Q5CB	-1.2898375	Normal
GTEX-13QBU-0626-SM-5J2OG	-0.235760416666667	Normal
