cell_type	sample	estimate	method	status
Adipocytes	TCGA-DJ-A2PR-01	7.92789407000991e-20	xcell	formal_relative_enrichment
Astrocytes	TCGA-DJ-A2PR-01	0.0137536878397465	xcell	formal_relative_enrichment
B-cells	TCGA-DJ-A2PR-01	6.83539074222237e-19	xcell	formal_relative_enrichment
Basophils	TCGA-DJ-A2PR-01	0.164410289597355	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-DJ-A2PR-01	2.8147354029085e-18	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-DJ-A2PR-01	0.0172126064154367	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-DJ-A2PR-01	1.00309853175662e-18	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-DJ-A2PR-01	1.16023606622978e-18	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-DJ-A2PR-01	6.34868406479522e-19	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
CLP	TCGA-DJ-A2PR-01	0.000582858356452664	xcell	formal_relative_enrichment
CMP	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Chondrocytes	TCGA-DJ-A2PR-01	0.0400242712341613	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-DJ-A2PR-01	0.0224770130113631	xcell	formal_relative_enrichment
DC	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Endothelial cells	TCGA-DJ-A2PR-01	0.0227554204864752	xcell	formal_relative_enrichment
Eosinophils	TCGA-DJ-A2PR-01	0.00810062617918841	xcell	formal_relative_enrichment
Epithelial cells	TCGA-DJ-A2PR-01	0.169456082448916	xcell	formal_relative_enrichment
Erythrocytes	TCGA-DJ-A2PR-01	5.65912601619322e-19	xcell	formal_relative_enrichment
Fibroblasts	TCGA-DJ-A2PR-01	0.00358272308906319	xcell	formal_relative_enrichment
GMP	TCGA-DJ-A2PR-01	2.93437868758886e-18	xcell	formal_relative_enrichment
HSC	TCGA-DJ-A2PR-01	0.107329514260957	xcell	formal_relative_enrichment
Hepatocytes	TCGA-DJ-A2PR-01	0.00410568648260869	xcell	formal_relative_enrichment
Keratinocytes	TCGA-DJ-A2PR-01	0.0196037294708642	xcell	formal_relative_enrichment
MEP	TCGA-DJ-A2PR-01	2.00711144664843e-19	xcell	formal_relative_enrichment
MPP	TCGA-DJ-A2PR-01	2.44643555451741e-18	xcell	formal_relative_enrichment
MSC	TCGA-DJ-A2PR-01	5.66565409016691e-19	xcell	formal_relative_enrichment
Macrophages	TCGA-DJ-A2PR-01	1.21111306670152e-18	xcell	formal_relative_enrichment
Macrophages M1	TCGA-DJ-A2PR-01	0.00874154865033086	xcell	formal_relative_enrichment
Macrophages M2	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Mast cells	TCGA-DJ-A2PR-01	0.0458965976805851	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-DJ-A2PR-01	0.00400495118769895	xcell	formal_relative_enrichment
Melanocytes	TCGA-DJ-A2PR-01	0.00846161754013935	xcell	formal_relative_enrichment
Memory B-cells	TCGA-DJ-A2PR-01	4.91420450437824e-18	xcell	formal_relative_enrichment
Mesangial cells	TCGA-DJ-A2PR-01	0.0423444151979381	xcell	formal_relative_enrichment
Monocytes	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Myocytes	TCGA-DJ-A2PR-01	0.0122267177778621	xcell	formal_relative_enrichment
NK cells	TCGA-DJ-A2PR-01	9.0185781103377e-19	xcell	formal_relative_enrichment
NKT	TCGA-DJ-A2PR-01	0.0405866921384415	xcell	formal_relative_enrichment
Neurons	TCGA-DJ-A2PR-01	0.000574073271459424	xcell	formal_relative_enrichment
Neutrophils	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Osteoblast	TCGA-DJ-A2PR-01	0.0351533510032005	xcell	formal_relative_enrichment
Pericytes	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Plasma cells	TCGA-DJ-A2PR-01	4.1465593628003e-20	xcell	formal_relative_enrichment
Platelets	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Preadipocytes	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Sebocytes	TCGA-DJ-A2PR-01	0.00381155935976768	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Smooth muscle	TCGA-DJ-A2PR-01	0.13158369816177	xcell	formal_relative_enrichment
Tgd cells	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
Th1 cells	TCGA-DJ-A2PR-01	6.34940537998972e-18	xcell	formal_relative_enrichment
Th2 cells	TCGA-DJ-A2PR-01	0.0336247286399781	xcell	formal_relative_enrichment
Tregs	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
aDC	TCGA-DJ-A2PR-01	0.100478215371336	xcell	formal_relative_enrichment
cDC	TCGA-DJ-A2PR-01	0.0390739354668515	xcell	formal_relative_enrichment
iDC	TCGA-DJ-A2PR-01	0.0241246889247745	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-DJ-A2PR-01	0.0078993154103129	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-DJ-A2PR-01	0.00937274949013031	xcell	formal_relative_enrichment
naive B-cells	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
pDC	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
pro B-cells	TCGA-DJ-A2PR-01	4.73492476914171e-18	xcell	formal_relative_enrichment
ImmuneScore	TCGA-DJ-A2PR-01	0.035998149239849	xcell	formal_relative_enrichment
StromaScore	TCGA-DJ-A2PR-01	0.0131690717877692	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-DJ-A2PR-01	0.0491672210276182	xcell	formal_relative_enrichment
Adipocytes	TCGA-EM-A3AQ-01	0.00286097626422694	xcell	formal_relative_enrichment
Astrocytes	TCGA-EM-A3AQ-01	0.0210933683581903	xcell	formal_relative_enrichment
