sample	epic_converged	status
TCGA-DJ-A2PR-01	TRUE	formal_fraction_converged
TCGA-EM-A3AQ-01	TRUE	formal_fraction_converged
TCGA-CE-A27D-01	TRUE	formal_fraction_converged
TCGA-EL-A4K2-01	TRUE	formal_fraction_converged
TCGA-BJ-A45J-01	TRUE	formal_fraction_converged
TCGA-DJ-A2Q1-01	TRUE	formal_fraction_converged
TCGA-4C-A93U-01	FALSE	formal_fraction_nonconverged
TCGA-H2-A2K9-11	TRUE	formal_fraction_converged
TCGA-KS-A4I5-01	TRUE	formal_fraction_converged
TCGA-EM-A22I-01	TRUE	formal_fraction_converged
TCGA-E3-A3E0-01	TRUE	formal_fraction_converged
TCGA-EM-A3AI-01	TRUE	formal_fraction_converged
TCGA-H2-A3RI-11	TRUE	formal_fraction_converged
TCGA-DJ-A1QF-01	TRUE	formal_fraction_converged
TCGA-BJ-A45F-01	TRUE	formal_fraction_converged
TCGA-EM-A22Q-01	TRUE	formal_fraction_converged
TCGA-FY-A40L-01	TRUE	formal_fraction_converged
TCGA-CE-A482-01	TRUE	formal_fraction_converged
TCGA-DJ-A3VF-01	TRUE	formal_fraction_converged
TCGA-EL-A3CP-01	TRUE	formal_fraction_converged
TCGA-EM-A3SY-01	TRUE	formal_fraction_converged
TCGA-ET-A25P-01	TRUE	formal_fraction_converged
TCGA-DJ-A2Q7-01	TRUE	formal_fraction_converged
TCGA-DJ-A4UT-01	TRUE	formal_fraction_converged
TCGA-FY-A3R7-01	TRUE	formal_fraction_converged
TCGA-FY-A3R8-01	TRUE	formal_fraction_converged
TCGA-BJ-A2N9-01	TRUE	formal_fraction_converged
TCGA-ET-A25R-01	TRUE	formal_fraction_converged
TCGA-DJ-A4V4-01	TRUE	formal_fraction_converged
TCGA-EL-A3T9-01	TRUE	formal_fraction_converged
TCGA-BJ-A0ZB-01	TRUE	formal_fraction_converged
TCGA-EL-A3T0-01	TRUE	formal_fraction_converged
TCGA-EL-A3H1-01	TRUE	formal_fraction_converged
TCGA-EL-A3D5-01	TRUE	formal_fraction_converged
TCGA-DJ-A3VA-01	TRUE	formal_fraction_converged
TCGA-DJ-A2PQ-01	TRUE	formal_fraction_converged
TCGA-BJ-A191-01	TRUE	formal_fraction_converged
TCGA-EM-A3FJ-01	FALSE	formal_fraction_nonconverged
TCGA-EM-A1CW-01	TRUE	formal_fraction_converged
TCGA-H2-A3RI-01	TRUE	formal_fraction_converged
TCGA-EL-A3GR-01	TRUE	formal_fraction_converged
TCGA-DJ-A3UN-01	TRUE	formal_fraction_converged
TCGA-DJ-A1QE-01	TRUE	formal_fraction_converged
TCGA-DE-A69K-01	TRUE	formal_fraction_converged
TCGA-ET-A25J-01	TRUE	formal_fraction_converged
TCGA-FK-A3SD-01	FALSE	formal_fraction_nonconverged
TCGA-EM-A22N-01	TRUE	formal_fraction_converged
TCGA-BJ-A291-01	FALSE	formal_fraction_nonconverged
TCGA-FY-A40K-01	TRUE	formal_fraction_converged
TCGA-FE-A22Z-01	TRUE	formal_fraction_converged
TCGA-E8-A44M-01	TRUE	formal_fraction_converged
TCGA-H2-A26U-01	TRUE	formal_fraction_converged
TCGA-EL-A3CX-01	TRUE	formal_fraction_converged
TCGA-FE-A230-01	FALSE	formal_fraction_nonconverged
TCGA-KS-A4IC-01	TRUE	formal_fraction_converged
TCGA-FE-A3PD-01	TRUE	formal_fraction_converged
TCGA-DO-A1JZ-01	TRUE	formal_fraction_converged
TCGA-DJ-A2PX-01	FALSE	formal_fraction_nonconverged
TCGA-E8-A432-01	TRUE	formal_fraction_converged
TCGA-DE-A0Y3-01	TRUE	formal_fraction_converged
TCGA-BJ-A3F0-01	TRUE	formal_fraction_converged
TCGA-BJ-A0ZJ-01	TRUE	formal_fraction_converged
TCGA-FY-A3WA-01	TRUE	formal_fraction_converged
TCGA-ET-A3BT-01	TRUE	formal_fraction_converged
TCGA-EL-A3GU-01	TRUE	formal_fraction_converged
TCGA-DJ-A1QM-01	TRUE	formal_fraction_converged
TCGA-ET-A3DR-01	TRUE	formal_fraction_converged
TCGA-EM-A1CT-11	TRUE	formal_fraction_converged
TCGA-H2-A422-01	TRUE	formal_fraction_converged
TCGA-DJ-A2Q0-01	TRUE	formal_fraction_converged
TCGA-BJ-A0Z0-01	TRUE	formal_fraction_converged
TCGA-ET-A3BQ-01	TRUE	formal_fraction_converged
TCGA-FK-A3SE-01	TRUE	formal_fraction_converged
TCGA-EL-A3CZ-01	TRUE	formal_fraction_converged
TCGA-EM-A2CJ-01	TRUE	formal_fraction_converged
TCGA-EL-A3GZ-01	TRUE	formal_fraction_converged
TCGA-EM-A2CM-01	TRUE	formal_fraction_converged
TCGA-ET-A39K-01	TRUE	formal_fraction_converged
TCGA-EL-A3ZS-11	TRUE	formal_fraction_converged
TCGA-EL-A4JX-01	TRUE	formal_fraction_converged
TCGA-EL-A4K9-01	TRUE	formal_fraction_converged
TCGA-J8-A3YE-01	TRUE	formal_fraction_converged
TCGA-BJ-A3EZ-01	TRUE	formal_fraction_converged
TCGA-EL-A4JZ-01	TRUE	formal_fraction_converged
TCGA-EM-A2P2-01	TRUE	formal_fraction_converged
TCGA-EL-A3ZQ-01	TRUE	formal_fraction_converged
TCGA-EM-A3O8-01	TRUE	formal_fraction_converged
TCGA-EM-A3AL-01	TRUE	formal_fraction_converged
TCGA-ET-A2N4-01	TRUE	formal_fraction_converged
TCGA-DJ-A2Q5-01	TRUE	formal_fraction_converged
TCGA-EM-A3SZ-01	TRUE	formal_fraction_converged
TCGA-ET-A2N0-01	TRUE	formal_fraction_converged
TCGA-J8-A3O2-01	TRUE	formal_fraction_converged
TCGA-BJ-A45E-01	TRUE	formal_fraction_converged
TCGA-EL-A4KH-01	TRUE	formal_fraction_converged
TCGA-EM-A1YA-01	TRUE	formal_fraction_converged
TCGA-EL-A3CR-01	TRUE	formal_fraction_converged
TCGA-BJ-A0Z2-01	TRUE	formal_fraction_converged
TCGA-EM-A4FO-01	TRUE	formal_fraction_converged
TCGA-EM-A3FL-01	TRUE	formal_fraction_converged
TCGA-EL-A3ZO-11	TRUE	formal_fraction_converged
TCGA-EM-A3AO-01	TRUE	formal_fraction_converged
TCGA-EM-A2CU-01	TRUE	formal_fraction_converged
TCGA-FY-A3R6-01	TRUE	formal_fraction_converged
TCGA-J8-A4HY-01	TRUE	formal_fraction_converged
TCGA-DJ-A2QA-01	TRUE	formal_fraction_converged
TCGA-ET-A40Q-01	TRUE	formal_fraction_converged
TCGA-ET-A39O-01	TRUE	formal_fraction_converged
TCGA-FY-A3YR-01	TRUE	formal_fraction_converged
TCGA-FK-A3SB-01	TRUE	formal_fraction_converged
TCGA-KS-A41J-01	TRUE	formal_fraction_converged
TCGA-DJ-A3UX-01	TRUE	formal_fraction_converged
TCGA-EL-A3GP-01	FALSE	formal_fraction_nonconverged
TCGA-FY-A3RA-01	TRUE	formal_fraction_converged
TCGA-BJ-A45H-01	TRUE	formal_fraction_converged
TCGA-FY-A3NN-01	TRUE	formal_fraction_converged
TCGA-EL-A4K0-01	TRUE	formal_fraction_converged
TCGA-DJ-A2PW-01	TRUE	formal_fraction_converged
TCGA-EM-A1YB-01	TRUE	formal_fraction_converged
