pathway	pval	padj	log2err	ES	NES	size	leadingEdge	replicate	analysis
R-HSA-1474244	1e-10	3e-09	NA	0.438323055989264	2.2563276459171	287	LRP4|P4HA2|LOXL2|BMP1|TGFB1|FN1|COL13A1|MMP11|AGRN|ITGA2|HAPLN1|ITGA3|TMPRSS6|LAMB3|PDGFA|PDGFB|SDC4|PXDN|ICAM1|CD151|SDC3|ADAMTS14|COL4A1|EMILIN2|SPARC|CTSS|ADAM15|LAMC2|P3H1|ITGB4|ICAM5|TIMP1|ACTN1|ADAMTS9|ITGA6|NID1|CTSD|COL8A1|CD44|COLGALT1|P3H3|CASP3|CEACAM6|MMP16|ITGB5|PLEC|A2M|ADAM12|HSPG2|COL1A1|CAPN11|LAMC1|COL15A1|ITGA7|COMP|ICAM4|CTSB|LAMA5|SERPINH1|SDC1|ACAN|COL4A2|TNC|ITGA5|CAPN12|MMP14|PRSS1|COL7A1|CAPN15|PLOD3|ACTA2|PRSS2|COL5A3|P3H2|CAPN3|KLK7|DDR1|ITGAM|COL5A1|LAMA4|MMP1|MFAP2|HTRA1|ICAM2|TRAPPC4|COL8A2|FGF2|CAPNS1|PLOD1|COL5A2|COL19A1|CAPN8|MMP13|PECAM1|COL3A1|VCAN|ACTG1|ITGB2|VWF|ITGA10|BGN|CAPN1|DAG1|CAST|LTBP3|P4HA1|MATN3|ITGAX|LTBP1|BSG|NCSTN|DMD|SGCB|ITGB1|TGFB2|COL18A1|SPP1|COL26A1|CAPN2|FBN3|CD47|COL1A2|LOXL1|ADAMTS18|COL11A1|F11R|MMP7|COL10A1|ADAM17|ITGB7|ITGB6|THBS1|COL21A1|ITGAV|PSEN1|ADAMTS2	1	stratified_bootstrap
R-HSA-3299685	0.142561983471074	0.194402704733283	0.16823816568964	0.353033967958947	1.26125816148728	33	NOX4|GPX1|ERO1A|CYBA|NCF2|NCF4|NUDT2|CYBB|GSR|PRDX2|TXN	1	stratified_bootstrap
R-HSA-913531	5.25067111074652e-06	1.96900166652995e-05	0.610526878385931	0.322524454438615	1.66731521764399	308	IRF5|UBE2I|ICAM1|RPS27L|PML|TUBB3|CD44|SPHK1|TRIM14|NUP188|NUP62|TRIM22|SFN|FLNA|TRIM46|BECN1|TP53|PSMB8|IFNAR2|KPNA2|TUBA4A|TRIM8|PPP2R1A|TUBA1A|HLA-H|EIF4A2|EIF3I|HLA-DQB2|RPS4X|HLA-B|HLA-G|FANCE|OAS2|STAT2|FAAP100|HLA-C|STAT1|EIF3G|TRIM35|PRKCD|HLA-DQB1|ISG15|EIF2S2|IFIT3|CIITA|CAMK2D|EIF3C|SEH1L|IFIT2|IRF9|HLA-A|GBP2|TRIM29|PTPN6|GBP3|ACTG1|IFI30|TRIM38|IRF3|RPS2|IFI27|IFNGR2|TYK2|KPNA1|MAPK1|UBE2L6|EIF3B|FNTA|RPS19|RPS8|FCGR1A|TUBA1B|HLA-DPA1|HLA-DRA|HLA-DRB1|ADAR|UBA7|CASP1|SP100|NUP85|IFNGR1|NPM1|RPS20|CDK1|B2M|EIF4A1|PTPN2|EIF3D|HLA-F|KPNB1|PTAFR|OAS1|HLA-DPB1|JAK1|FANCA|SEC13|RPS9|HLA-DQA2|CUL1|IFIT5|FANCL|HLA-DQA1|OAS3|TUBB6|RPS24|TUBA1C|RPS15|UBE2E1|RSAD2|FNTB|EIF4G1|RPS29|EIF3K|FAAP24|IRF2|EIF3H	1	stratified_bootstrap
hsa00190	1	1	0.0496901392724606	0.133606783746923	0.587496148239677	95	ATP6V1B2|ATP6AP1|COX4I2|TCIRG1|ATP6V1F|NDUFS8|NDUFS5|NDUFAB1|ATP6V0A2|UQCRC1|ATP6V0C|ATP6V1G1|ATP6V1A|ATP6V1E1|NDUFA13|PPA2|NDUFA11|NDUFC2-KCTD14|NDUFB10|UQCRQ|ATP6V0B|NDUFA7|ATP6V0A1|COX6B1|NDUFA3|NDUFA9|NDUFB8|NDUFC2|NDUFS3|NDUFS7|NDUFB4|NDUFS6|NDUFB9|COX7A2L|ATP6V1D|COX5A	1	stratified_bootstrap
hsa03030	1.4178594879997e-05	4.47455515096409e-05	0.593325476396405	0.60638558933257	2.20715835866947	35	MCM4|MCM6|POLE2|MCM3|POLD4|POLD1|MCM2|PCNA|FEN1|MCM5|MCM7|RFC2|POLE|POLA2|RNASEH2A|RFC5|LIG1|RFC4|SSBP1|POLE3	1	stratified_bootstrap
hsa03050	2.09364374512682e-06	9.29966631805581e-06	0.627256739718528	0.602814165878817	2.30331059179862	43	PSMB8|PSMB2|ADRM1|PSMD8|PSMA5|PSMD4|PSMB10|PSMA7|PSMD2|PSMB9|PSMB3|PSME2|PSMD9|PSMC6|PSMD1|POMP|PSMB4|PSMC4|PSMA1|PSMD3|PSMB6|PSMC3|PSMB1|PSMD13|PSMD14|PSMA3|PSMA6|PSMA4|PSMC5|PSMB5|PSMF1|PSME1	1	stratified_bootstrap
hsa03440	0.0595744680851064	0.0893617021276596	0.271288554688953	0.386017375619502	1.43288015598756	38	BRIP1|SYCP3|BRCA2|POLD4|POLD1|RBBP8|RAD51|BLM|XRCC2|MUS81|RAD54L|PALB2	1	stratified_bootstrap
hsa04010	1.4915183836547e-05	4.47455515096409e-05	0.593325476396405	0.323452781338324	1.65175262886104	270	MAP4K4|TGFA|TGFB1|DUSP4|MET|PPP5C|PDGFA|DUSP6|PDGFB|MAP3K6|MAP3K11|TGFBR1|RASGRF1|IL1RAP|MAPKAPK3|INSR|TNFRSF1A|RPS6KA4|MAPK13|ELK1|FAS|CASP3|PEA15|RASA1|DUSP5|EFNA3|TAOK2|PRKACA|FGF1|MAP3K1|MYD88|EPHA2|DUSP7|FLNA|CACNB1|TP53|ERBB2|CACNA1C|RPS6KA3|RRAS|MECOM|RPS6KA2|RELA|PDGFC|STMN1|CACNG4|CD14|ERBB3|MAPK11|MAPKAPK2|GRB2|RELB|CSF1R|EFNA4|CACNB3|AKT1|MAP2K7|CDC25B|PPP3CB|RAC1|HRAS|FGF2|PAK2|MAP3K5|RASGRP4|MAP2K3|EREG|PTPRR|ARRB2	1	stratified_bootstrap
hsa04064	0.202991452991453	0.253739316239316	0.141225119642531	0.255802355465252	1.14263967311084	101	UBE2I|BCL2L1|PLAU|EDA2R|ICAM1|TNFRSF1A|PPP1R13L|LYN|CARD10|MYD88|BLNK|RELA|TICAM1|CD14|RELB|CCL13	1	stratified_bootstrap
hsa04066	0.0358014733067397	0.0596691221778995	0.321775918075361	0.308355715775054	1.36275700755609	97	PIK3R2|NOS3|INSR|TIMP1|CDKN1A|ERBB2|RELA|ENO3|GAPDH|HK3|PFKL|AKT1|EIF4EBP1|CAMK2D|SLC2A1|ENO1|HK2|HMOX1|IFNGR2|MAPK1|HIF1A|NOS2|PFKFB3|MAP2K2|MKNK1|MAP2K1|CYBB|IFNGR1	1	stratified_bootstrap
