pathway	pval	padj	log2err	ES	NES	size	leadingEdge	replicate	analysis
R-HSA-1474244	1e-10	3e-09	NA	0.445030816572648	2.30405445207891	287	LRP4|BMP1|P4HA2|FN1|COL13A1|LOXL2|TGFB1|MMP11|AGRN|ITGA3|ITGA2|HAPLN1|LAMB3|PDGFA|TMPRSS6|SDC4|PDGFB|CD151|ADAMTS14|SDC3|PXDN|SPARC|TIMP1|ICAM1|ICAM5|ADAM15|LAMC2|COL4A1|EMILIN2|ACTN1|P3H1|ADAMTS9|CD44|ITGB4|COL8A1|CTSS|NID1|CTSD|ITGA6|COMP|COL1A1|P3H3|CAPN11|MMP16|ADAM12|CAPN12|ITGB5|ITGA7|ICAM4|CEACAM6|PLEC|COLGALT1|SERPINH1|SDC1|LAMC1|CTSB|CASP3|PRSS2|ACAN|HSPG2|TNC|LAMA5|COL4A2|KLK7|COL7A1|PRSS1|MMP14|ITGA5|COL15A1|A2M|COL5A1|MFAP2|COL5A3|CAPN15|HTRA1|MMP1|CAPN3|MMP13|CAPNS1|PLOD3|P3H2|COL5A2|MATN3|DDR1|CAPN8|COL8A2|BGN|TRAPPC4|VCAN|COL3A1|LAMA4|ACTA2|ICAM2|ITGAM|PLOD1|FGF2|BSG|ACTG1|COL19A1|ADAMTS18|PECAM1|SGCB|TGFB2|CAST|LOXL1|CAPN2|DMD|ITGAX|ADAM17|ITGB2|SPP1|MMP7|FBN3|LTBP1|CAPN1|COL11A1|NCSTN|CD47|ITGB6|COL1A2|LTBP3|DAG1|P4HA1|COL26A1|ADAMTS2|COL18A1|COL10A1|THBS1|VWF|ITGA10	0	outliers_removed
R-HSA-3299685	0.202083333333333	0.252604166666667	0.139599673451922	0.339304227802065	1.19565106908078	33	NOX4|GPX1|ERO1A|CYBA|NUDT2|NCF2|PRDX2|TXN|NCF4|GSR|CYBB	0	outliers_removed
R-HSA-913531	4.05658367955045e-05	0.000152121887983142	0.557332238758646	0.30477928756131	1.58919494234	308	UBE2I|IRF5|TUBB3|RPS27L|PML|ICAM1|CD44|SFN|SPHK1|TRIM14|NUP188|TUBA1A|TUBA4A|TRIM46|TRIM22|EIF3I|PPP2R1A|FLNA|PSMB8|TP53|NUP62|EIF4A2|RPS4X|TRIM8|BECN1|EIF3C|HLA-DQB2|IFNAR2|TRIM29|PRKCD|KPNA2|HLA-B|CAMK2D|HLA-G|HLA-H|FANCE|ISG15|TRIM38|SEH1L|STAT2|FAAP100|EIF2S2|HLA-DQB1|HLA-C|EIF3G|GBP2|HLA-A|IRF3|TRIM35|RPS2|TUBA1B|IFIT2|GBP3|ACTG1|RPS8|OAS2|IFIT3|KPNA1|IFI30|STAT1|IFNGR2|IRF9|NPM1|IFI27|SP100|FNTA|RPS19|EIF3B|RPS20|FANCL|FCGR1A|CIITA|RPS9|UBE2L6|TUBB6|TYK2|PTPN6|HLA-DRB1|IFNGR1|UBE2E1|MAPK1|EIF4A1|SEC13|KPNB1|UBA7|RPS24|JAK1|PTPN2|HLA-DRA|HLA-DPA1|EIF3D|NUP85|IFIT5|RPS15|HLA-F|CDK1|TUBA1C|CASP1|ADAR|B2M|PTAFR|EIF3K|HLA-DPB1|OAS1|RPSA|FNTB|HLA-DQA1|EIF3H|OAS3|FANCA|IP6K2|CUL1|UBA52|FAAP24|RPS29|FURIN|HLA-DRB5|RSAD2|RPS6|EIF3E|RPS3|OASL|NUP43|TUBA4B|TRIM17|SOCS1|PRKRA|RPS15A|FAAP20|HLA-DQA2|IRF7|TRIM62|HLA-E	0	outliers_removed
hsa00190	0.864978902953587	0.864978902953587	0.0547939500773363	0.1824850698616	0.808125326755785	95	ATP6V1B2|ATP6AP1|COX4I2|ATP6V1F|TCIRG1|NDUFS5|NDUFS8|UQCRC1|ATP6V1G1|ATP6V0C|NDUFAB1|ATP6V1A|NDUFA13|ATP6V1E1|NDUFA11|ATP6V0A2|PPA2|NDUFB10|UQCRQ|COX6B1|NDUFA7|NDUFB8|ATP6V0B|NDUFC2-KCTD14|NDUFB4|NDUFS3|NDUFB9|NDUFA3|ATP6V0A1|NDUFS7|NDUFA9|COX4I1|NDUFS6|ATP6V1D|NDUFC2|COX5A	0	outliers_removed
hsa03030	9.80068689977879e-05	0.00032668956332596	0.538434096309916	0.573472142803304	2.0564328716529	35	MCM4|POLE2|MCM6|MCM3|POLD4|PCNA|MCM2|RFC2|POLD1|FEN1|RFC5|MCM7|MCM5|POLE|RNASEH2A|POLA2|SSBP1|RFC4|POLE3|LIG1	0	outliers_removed
hsa03050	1.19091895118648e-07	1.19091895118648e-06	0.704975715167238	0.625958344532146	2.39508567258342	43	PSMB8|PSMB2|ADRM1|PSMD4|PSMD8|PSMA5|PSMB10|PSMB4|PSMB3|PSMA7|POMP|PSMA1|PSME2|PSMD9|PSMC3|PSMC4|PSMB6|PSMC6|PSMB1|PSMD13|PSMB9|PSMD1|PSMD2|PSMC5|PSMA6|PSMD14|PSMD3|PSMA3|PSMF1|PSMA4|PSMD12|PSMB5|SEM1|PSME1	0	outliers_removed
hsa03440	0.0881147540983607	0.139128559102675	0.216542836735348	0.36631589381752	1.34736066257267	38	SYCP3|BRIP1|POLD4|BRCA2|RBBP8|POLD1|RAD51|XRCC2|RAD54L|BLM|SSBP1|MUS81|EME1|PALB2	0	outliers_removed
hsa04010	0.000333557642856948	0.00090970266233713	0.49849310876659	0.298820684854756	1.53815947919753	270	DUSP4|TGFA|TGFB1|MAP4K4|MET|PPP5C|PDGFA|DUSP6|MAP3K6|PDGFB|INSR|TGFBR1|MAPK13|IL1RAP|RASGRF1|MAP3K11|MAPKAPK3|PEA15|TNFRSF1A|EFNA3|RPS6KA4|ELK1|DUSP5|FGF1|CACNB1|PRKACA|RASA1|FAS|RRAS|PDGFC|DUSP7|EPHA2|MAP3K1|CASP3|STMN1|ERBB2|FLNA|MYD88|CACNG4|CACNA1C|TP53|RPS6KA2|TAOK2|ERBB3|RAC1|EFNA4|RELA|MAPK11|AKT1|MECOM|HRAS|PPP3CB|MAPKAPK2|CACNB3|MAP2K7|RPS6KA3|PAK2|EREG|RELB|CDC25B|FGF2|CSF1R|CD14|TGFB2|RASGRP4|MAP3K5|MAP2K2|MAP2K3|GRB2|MKNK1|NFKB2|FGFR3|MAX|PPP3CA|ARRB2	0	outliers_removed
hsa04064	0.420502092050209	0.474106491611962	0.0911073131586733	0.22746008014636	1.01779063489076	101	UBE2I|PLAU|BCL2L1|ICAM1|EDA2R|TNFRSF1A|PPP1R13L|LYN|CARD10|MYD88|BLNK|CSNK2A2|RELA|TICAM1|CSNK2B|RELB|CCL13|CD14|CXCL8|CARD14|NFKB2|PIAS4|PIDD1	0	outliers_removed
hsa04066	0.0754716981132076	0.125786163522013	0.237793834423688	0.288565524676639	1.28379775758517	97	PIK3R2|INSR|NOS3|TIMP1|CDKN1A|ERBB2|GAPDH|RELA|AKT1|ENO3|CAMK2D|EIF4EBP1|HK3|HK2|SLC2A1|PFKL|HMOX1|ENO1|IFNGR2|MAP2K2|NOS2|MKNK1|ELOB|ANGPT2|IFNGR1|MAPK1|HIF1A|MAP2K1|PFKFB3|CYBB|SERPINE1|RPS6KB2	0	outliers_removed
