pathway	direction_fraction	significant_fraction	median_NES	robust	outlier_removed_NES	outlier_removed_FDR
R-HSA-1474244	1	1	2.26917707432276	TRUE	2.30405445207891	3e-09
R-HSA-3299685	1	0.01	1.15801330831146	FALSE	1.19565106908078	0.252604166666667
R-HSA-913531	1	0.99	1.58862244109765	TRUE	1.58919494234	0.000152121887983142
hsa00190	0.85	0.03	0.800397390603159	FALSE	0.808125326755785	0.864978902953587
hsa03030	1	1	2.0362409935489	TRUE	2.0564328716529	0.00032668956332596
hsa03050	1	1	2.34088264621291	TRUE	2.39508567258342	1.19091895118648e-06
hsa03440	1	0.04	1.31976798956691	FALSE	1.34736066257267	0.139128559102675
hsa04010	1	1	1.54104843264926	TRUE	1.53815947919753	0.00090970266233713
hsa04064	0.95	0	1.03004885648643	FALSE	1.01779063489076	0.474106491611962
hsa04066	1	0.1	1.29265336376112	FALSE	1.28379775758517	0.125786163522013
hsa04110	1	1	1.93691922197707	TRUE	1.97943920097385	6.65901447243395e-06
hsa04115	1	1	2.34977291879837	TRUE	2.36519770323669	4.1675542120762e-07
hsa04140	0.87	0	-0.92258322507535	FALSE	-0.926797565565832	0.66765866597658
hsa04150	1	0	0.968796438588603	FALSE	1.00685563490014	0.474106491611962
hsa04151	1	1	1.51886989964397	TRUE	1.51888809025447	0.000695177858913333
hsa04210	1	1	1.89487455693332	TRUE	1.90629571913677	2.10768975926739e-05
hsa04216	0.9	0	0.883662530005637	FALSE	0.902494803203842	0.64981164879745
hsa04218	1	1	1.8631172805136	TRUE	1.86109662196933	3.75486416928852e-05
hsa04310	0.91	0	-1.11600937319066	FALSE	-1.1318453517897	0.24914509037616
hsa04350	1	0.03	-1.2152171363369	FALSE	-1.18647094017764	0.226843100189036
hsa04390	1	0.06	1.16370709815427	FALSE	1.17380594619913	0.170678336980306
hsa04510	1	1	1.85920704268247	TRUE	1.86194709762906	1.19037310418214e-05
hsa04512	1	1	1.66784685345016	TRUE	1.67211246982492	0.00367550016456159
hsa04612	0.95	0.19	1.20806809918117	FALSE	1.18744909850525	0.238987816307404
hsa04620	1	0.35	1.34487438015356	FALSE	1.32033991848407	0.115413253909159
hsa04630	1	0.48	1.37077971560259	FALSE	1.35700336901204	0.0713191363784933
hsa04657	1	0	1.11441604073015	FALSE	1.08157226223144	0.35397489539749
hsa04668	1	0.79	1.46756543138265	TRUE	1.43925878526914	0.0384087199039406
hsa04919	1	0.14	1.2654030106403	FALSE	1.28959856770823	0.115413253909159
hsa05216	1	0.7	1.55784910656466	TRUE	1.55213762485748	0.0384087199039406
