variant	method	collection	pathway	NES	padj	leading_edge_n	composition_overlap_n	composition_overlap
tcga_matched	voom_qw	Hallmark	HALLMARK_ADIPOGENESIS	0.905113980759901	0.804882525697504	39	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_ALLOGRAFT_REJECTION	2.35570113769662	1.68036330539934e-11	94	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_ANDROGEN_RESPONSE	-1.00541366711875	0.502173793407077	22	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_ANGIOGENESIS	1.54574429103174	0.0393481162711932	16	1	COL3A1
tcga_matched	voom_qw	Hallmark	HALLMARK_APICAL_JUNCTION	2.16418847957471	3.46277384434991e-09	56	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_APICAL_SURFACE	-0.762924519308995	0.844901983895404	16	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_APOPTOSIS	2.16714626868522	1.06195464204046e-08	70	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_BILE_ACID_METABOLISM	-1.42829496189218	0.0374298190892077	27	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.22053649729366	0.157196087564043	18	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_COAGULATION	2.10590562414639	9.11479827949334e-07	48	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_COMPLEMENT	1.92833955292626	4.92941731103079e-07	68	1	FCER1G
tcga_matched	voom_qw	Hallmark	HALLMARK_DNA_REPAIR	1.87942355677756	1.71427666193711e-05	44	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_E2F_TARGETS	2.07954534111622	1.51039263934571e-08	84	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.9964930808816	1.05670327012455e-07	85	2	COL1A1|COL3A1
tcga_matched	voom_qw	Hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.30849891817136	0.034693939119679	43	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE	1.47338915044828	0.00339436284433731	37	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_FATTY_ACID_METABOLISM	-1.18755375413966	0.200676721500306	47	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_G2M_CHECKPOINT	1.91410601539467	6.27684039336225e-07	75	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_GLYCOLYSIS	1.58664524860336	0.000328039200878405	83	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_HEDGEHOG_SIGNALING	1.00362575045282	0.500075673494098	10	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_HEME_METABOLISM	-0.869860810851973	0.804882525697504	64	0	
tcga_matched	voom_qw	Hallmark	HALLMARK_HYPOXIA	1.16597626034161	0.144419228388694	42	0	
