network	gene	degree	betweenness	closeness	eigenvector	interpretation
genome_wide_top500	ITGB4	1	0	0.5	0	topological descriptor; not therapeutic evidence
genome_wide_top500	MLLT1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	LGALS3	1	0	0.5	0	topological descriptor; not therapeutic evidence
genome_wide_top500	FHOD1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	ICAM1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	ADAM22	1	0	0.666666666666667	0	topological descriptor; not therapeutic evidence
genome_wide_top500	LRIG1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	CLDN1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	RUNX1	2	0.00189393939393939	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	ITPR1	1	0	0.6	0.577350269189626	topological descriptor; not therapeutic evidence
genome_wide_top500	DNAH7	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	ITGA3	2	0.00378787878787879	0.75	0	topological descriptor; not therapeutic evidence
genome_wide_top500	BID	1	0	0.6	0.577350269189626	topological descriptor; not therapeutic evidence
genome_wide_top500	TUBB3	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	MAGI2	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	DLG2	1	0	0.666666666666667	0	topological descriptor; not therapeutic evidence
genome_wide_top500	SMAD9	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	RAB27A	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	BCL2	3	0.00568181818181818	1	1	topological descriptor; not therapeutic evidence
genome_wide_top500	MLLT3	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	FN1	2	0.00378787878787879	0.75	0	topological descriptor; not therapeutic evidence
genome_wide_top500	SYNE1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	MSN	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	DLG4	2	0.00189393939393939	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	MET	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	TACSTD2	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	RUNX2	1	0	0.666666666666667	0	topological descriptor; not therapeutic evidence
genome_wide_top500	RUNX1T1	1	0	0.666666666666667	0	topological descriptor; not therapeutic evidence
genome_wide_top500	DNAL1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	TUBA8	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	MAGI1	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	HMGA2	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	SYTL3	1	0	1	0	topological descriptor; not therapeutic evidence
genome_wide_top500	BBC3	1	0	0.6	0.577350269189625	topological descriptor; not therapeutic evidence
