stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore	gene_A	gene_B	rho	p	coexpression_fdr
9606.ENSP00000200181	9606.ENSP00000315190	ITGB4	ITGA3	9606	0.877	0	0	0	0	0.292	0.72	0.43	ITGB4	ITGA3	0.695073637798562	4.2068306617077e-74	2.73443993011e-73
9606.ENSP00000252674	9606.ENSP00000369695	MLLT1	MLLT3	9606	0.999	0	0	0	0	0.61	0.9	0.982	MLLT1	MLLT3	0.367627508092424	1.32069691898087e-17	1.90767332741682e-17
9606.ENSP00000254301	9606.ENSP00000346839	LGALS3	FN1	9606	0.963	0	0	0	0	0.189	0	0.957	LGALS3	FN1	0.720144126213864	6.93890389956443e-82	6.01371671295584e-81
9606.ENSP00000258201	9606.ENSP00000356224	FHOD1	SYNE1	9606	0.957	0	0	0	0	0.9	0	0.594	FHOD1	SYNE1	-0.537770236650994	3.41364347257552e-39	8.87547302869635e-39
9606.ENSP00000264832	9606.ENSP00000353408	ICAM1	MSN	9606	0.984	0	0	0	0	0.054	0.9	0.849	ICAM1	MSN	0.550214213967981	2.6479282408143e-41	7.64957047346352e-41
9606.ENSP00000265727	9606.ENSP00000497806	ADAM22	DLG4	9606	0.989	0	0	0	0	0.292	0.8	0.93	ADAM22	DLG4	-0.388956286933041	1.09571428521223e-19	1.67579831855988e-19
9606.ENSP00000273261	9606.ENSP00000317272	LRIG1	MET	9606	0.964	0	0	0	0	0.457	0.9	0.393	LRIG1	MET	-0.341448492675354	2.96148029053958e-15	3.84992437770146e-15
9606.ENSP00000295522	9606.ENSP00000360269	CLDN1	TACSTD2	9606	0.797	0	0	0	0	0.292	0	0.726	CLDN1	TACSTD2	0.595847193414994	7.46084357537938e-50	2.4247741619983e-49
9606.ENSP00000300305	9606.ENSP00000360493	RUNX1	RUNX2	9606	0.88	0	0	0	0	0.61	0	0.706	RUNX1	RUNX2	0.602388220188478	3.40920908656177e-51	1.26627766072294e-50
9606.ENSP00000300305	9606.ENSP00000402257	RUNX1	RUNX1T1	9606	0.996	0	0	0	0	0.457	0.9	0.944	RUNX1	RUNX1T1	-0.358383695512408	9.45908942805513e-17	1.29440171120754e-16
9606.ENSP00000306253	9606.ENSP00000381185	ITPR1	BCL2	9606	0.989	0	0	0	0	0.457	0	0.982	ITPR1	BCL2	0.667108791624504	2.56238214664999e-66	1.332438716258e-65
9606.ENSP00000311273	9606.ENSP00000452037	DNAH7	DNAL1	9606	0.726	0	0	0	0	0.063	0.72	0	DNAH7	DNAL1	0.731308596698179	1.24337270575303e-85	1.61638451747894e-84
9606.ENSP00000315190	9606.ENSP00000346839	ITGA3	FN1	9606	0.973	0	0	0	0	0.292	0	0.964	ITGA3	FN1	0.875329147821614	7.45381180643986e-161	1.93799106967436e-159
9606.ENSP00000318822	9606.ENSP00000381185	BID	BCL2	9606	0.985	0	0	0	0	0.656	0.9	0.608	BID	BCL2	-0.643355174026719	2.42701348573395e-60	1.05170584381804e-59
9606.ENSP00000320295	9606.ENSP00000333326	TUBB3	TUBA8	9606	0.932	0	0	0	0	0.142	0.65	0.793	TUBB3	TUBA8	-0.455953732019165	2.70912844755345e-27	5.0312385454564e-27
9606.ENSP00000346151	9606.ENSP00000385450	MAGI2	MAGI1	9606	0.913	0	0	0	0	0.168	0.9	0	MAGI2	MAGI1	0.456686569278046	2.18716485463658e-27	4.37432970927316e-27
9606.ENSP00000365272	9606.ENSP00000497806	DLG2	DLG4	9606	0.962	0	0	0	0	0.318	0.4	0.915	DLG2	DLG4	-0.425506743220906	1.26375011744914e-23	2.05359394085485e-23
9606.ENSP00000369154	9606.ENSP00000437621	SMAD9	HMGA2	9606	0.793	0	0	0	0	0.292	0.72	0	SMAD9	HMGA2	-0.524387407684868	5.09033727616305e-37	1.20317062891127e-36
9606.ENSP00000379601	9606.ENSP00000483936	RAB27A	SYTL3	9606	0.757	0	0	0	0	0.671	0	0.292	RAB27A	SYTL3	-0.442044825600572	1.42852074672681e-25	2.4761026276598e-25
9606.ENSP00000381185	9606.ENSP00000404503	BCL2	BBC3	9606	0.997	0	0	0	0	0.727	0.5	0.98	BCL2	BBC3	-0.488670606191054	1.13845683636889e-31	2.46665647879925e-31
