network	algorithm	gene	module
genome_wide_top500	walktrap	ITGB4	1
genome_wide_top500	walktrap	MLLT1	12
genome_wide_top500	walktrap	LGALS3	1
genome_wide_top500	walktrap	FHOD1	5
genome_wide_top500	walktrap	ICAM1	11
genome_wide_top500	walktrap	ADAM22	4
genome_wide_top500	walktrap	LRIG1	9
genome_wide_top500	walktrap	CLDN1	7
genome_wide_top500	walktrap	RUNX1	3
genome_wide_top500	walktrap	ITPR1	2
genome_wide_top500	walktrap	DNAH7	6
genome_wide_top500	walktrap	ITGA3	1
genome_wide_top500	walktrap	BID	2
genome_wide_top500	walktrap	TUBB3	8
genome_wide_top500	walktrap	MAGI2	14
genome_wide_top500	walktrap	DLG2	4
genome_wide_top500	walktrap	SMAD9	13
genome_wide_top500	walktrap	RAB27A	10
genome_wide_top500	walktrap	BCL2	2
genome_wide_top500	walktrap	MLLT3	12
genome_wide_top500	walktrap	FN1	1
genome_wide_top500	walktrap	SYNE1	5
genome_wide_top500	walktrap	MSN	11
genome_wide_top500	walktrap	DLG4	4
genome_wide_top500	walktrap	MET	9
genome_wide_top500	walktrap	TACSTD2	7
genome_wide_top500	walktrap	RUNX2	3
genome_wide_top500	walktrap	RUNX1T1	3
genome_wide_top500	walktrap	DNAL1	6
genome_wide_top500	walktrap	TUBA8	8
genome_wide_top500	walktrap	MAGI1	14
genome_wide_top500	walktrap	HMGA2	13
genome_wide_top500	walktrap	SYTL3	10
genome_wide_top500	walktrap	BBC3	2
genome_wide_top500	louvain	ITGB4	1
genome_wide_top500	louvain	MLLT1	2
genome_wide_top500	louvain	LGALS3	1
genome_wide_top500	louvain	FHOD1	3
genome_wide_top500	louvain	ICAM1	4
genome_wide_top500	louvain	ADAM22	5
genome_wide_top500	louvain	LRIG1	6
genome_wide_top500	louvain	CLDN1	7
genome_wide_top500	louvain	RUNX1	8
genome_wide_top500	louvain	ITPR1	9
genome_wide_top500	louvain	DNAH7	10
genome_wide_top500	louvain	ITGA3	1
genome_wide_top500	louvain	BID	9
genome_wide_top500	louvain	TUBB3	11
genome_wide_top500	louvain	MAGI2	12
genome_wide_top500	louvain	DLG2	5
genome_wide_top500	louvain	SMAD9	13
genome_wide_top500	louvain	RAB27A	14
genome_wide_top500	louvain	BCL2	9
genome_wide_top500	louvain	MLLT3	2
genome_wide_top500	louvain	FN1	1
genome_wide_top500	louvain	SYNE1	3
genome_wide_top500	louvain	MSN	4
genome_wide_top500	louvain	DLG4	5
genome_wide_top500	louvain	MET	6
genome_wide_top500	louvain	TACSTD2	7
genome_wide_top500	louvain	RUNX2	8
genome_wide_top500	louvain	RUNX1T1	8
genome_wide_top500	louvain	DNAL1	10
genome_wide_top500	louvain	TUBA8	11
genome_wide_top500	louvain	MAGI1	12
genome_wide_top500	louvain	HMGA2	13
genome_wide_top500	louvain	SYTL3	14
genome_wide_top500	louvain	BBC3	9
genome_wide_top500	leiden	ITGB4	1
genome_wide_top500	leiden	MLLT1	2
genome_wide_top500	leiden	LGALS3	1
genome_wide_top500	leiden	FHOD1	3
genome_wide_top500	leiden	ICAM1	4
genome_wide_top500	leiden	ADAM22	5
genome_wide_top500	leiden	LRIG1	6
genome_wide_top500	leiden	CLDN1	7
genome_wide_top500	leiden	RUNX1	8
genome_wide_top500	leiden	ITPR1	9
genome_wide_top500	leiden	DNAH7	10
genome_wide_top500	leiden	ITGA3	1
genome_wide_top500	leiden	BID	9
genome_wide_top500	leiden	TUBB3	11
genome_wide_top500	leiden	MAGI2	12
genome_wide_top500	leiden	DLG2	5
genome_wide_top500	leiden	SMAD9	13
genome_wide_top500	leiden	RAB27A	14
genome_wide_top500	leiden	BCL2	9
genome_wide_top500	leiden	MLLT3	2
genome_wide_top500	leiden	FN1	1
genome_wide_top500	leiden	SYNE1	3
genome_wide_top500	leiden	MSN	4
genome_wide_top500	leiden	DLG4	5
genome_wide_top500	leiden	MET	6
genome_wide_top500	leiden	TACSTD2	7
genome_wide_top500	leiden	RUNX2	8
genome_wide_top500	leiden	RUNX1T1	8
genome_wide_top500	leiden	DNAL1	10
genome_wide_top500	leiden	TUBA8	11
genome_wide_top500	leiden	MAGI1	12
genome_wide_top500	leiden	HMGA2	13
genome_wide_top500	leiden	SYTL3	14
genome_wide_top500	leiden	BBC3	9
