network	gene	degree	betweenness	closeness	eigenvector	interpretation
panel30	DVL2	4	0.00141088746838526	0.164748637189582	4.81084478540356e-09	topological descriptor; not therapeutic evidence
panel30	CX3CL1	1	0	0.142988566171639	3.33936556944466e-09	topological descriptor; not therapeutic evidence
panel30	CD74	10	5.80902713427756e-05	0.13782619711173	1.29807716874954e-08	topological descriptor; not therapeutic evidence
panel30	CD4	4	0.0117589144047079	0.175060337892196	2.09690686555874e-07	topological descriptor; not therapeutic evidence
panel30	PPP5C	1	0	0.187650914108313	2.08955411846661e-07	topological descriptor; not therapeutic evidence
panel30	COX15	2	0	0.154413851830826	0.0266214360142732	topological descriptor; not therapeutic evidence
panel30	RB1CC1	9	0.0134504716854496	0.201668211306766	4.26369786719319e-07	topological descriptor; not therapeutic evidence
panel30	GABARAPL2	5	0.00176233186469561	0.174694926140013	1.5919947217422e-09	topological descriptor; not therapeutic evidence
panel30	PSMA4	39	0.00109236082210506	0.202720327929942	8.85841429296873e-07	topological descriptor; not therapeutic evidence
panel30	DCN	4	0.00381435307738671	0.19628360093812	8.26281123476995e-06	topological descriptor; not therapeutic evidence
panel30	RFC2	3	0.000323881857928316	0.168917869895979	5.04848413037326e-08	topological descriptor; not therapeutic evidence
panel30	PSMC4	33	0.000507308024592288	0.201071890593236	7.61328772142622e-07	topological descriptor; not therapeutic evidence
panel30	ICAM3	1	0	0.151574254667038	4.80029089209896e-09	topological descriptor; not therapeutic evidence
panel30	CEACAM1	1	0	1	3.33490589226278e-17	topological descriptor; not therapeutic evidence
panel30	TNFRSF1A	9	0.00673907283234371	0.208588957055215	7.54315748772859e-07	topological descriptor; not therapeutic evidence
panel30	BCL3	2	6.5428449050709e-05	0.201406886338393	8.94028030308532e-06	topological descriptor; not therapeutic evidence
panel30	TRIP13	2	0	0.158047646717025	2.13781336264005e-07	topological descriptor; not therapeutic evidence
panel30	NGFR	1	0	0.171365569381005	7.81054516310855e-09	topological descriptor; not therapeutic evidence
panel30	NDUFB4	51	1.63652328813012e-06	0.182183523107837	0.979801314323075	topological descriptor; not therapeutic evidence
panel30	PLOD1	1	0	0.121768326804701	6.73692388546135e-11	topological descriptor; not therapeutic evidence
panel30	ITGB4	6	0.00419532586965896	0.186941580756014	2.17560264283082e-06	topological descriptor; not therapeutic evidence
panel30	UQCRC1	53	0.000419254657947622	0.182275087954431	0.973826903242573	topological descriptor; not therapeutic evidence
panel30	CDC6	11	0.00287679947502685	0.185034013605442	2.02723147412163e-06	topological descriptor; not therapeutic evidence
panel30	AAAS	1	0	0.107818848478843	6.2326359393762e-14	topological descriptor; not therapeutic evidence
panel30	MAPK13	2	0	0.75	6.0634652586596e-17	topological descriptor; not therapeutic evidence
panel30	VCL	8	0.0089434604661189	0.216474333465977	1.00423752630492e-05	topological descriptor; not therapeutic evidence
panel30	SIRT1	9	0.0130772882674952	0.211879259980526	1.38914623583575e-06	topological descriptor; not therapeutic evidence
panel30	PSMD8	32	0.000544813783707892	0.198323004010208	7.87943400543401e-07	topological descriptor; not therapeutic evidence
panel30	NDUFB7	51	0.00101441727631404	0.190176542562489	0.968237142492981	topological descriptor; not therapeutic evidence
panel30	MAPK12	1	0	0.150650789255054	3.9421557789527e-09	topological descriptor; not therapeutic evidence
panel30	OSM	2	0.00610866313345652	0.156479217603912	3.73867156373174e-07	topological descriptor; not therapeutic evidence
panel30	MAPK1	8	0.0156469854469587	0.215958713775308	0.000400035872219669	topological descriptor; not therapeutic evidence
panel30	MCM5	15	0.00442122375841657	0.18707015130674	1.26909898034455e-07	topological descriptor; not therapeutic evidence
panel30	TAB1	1	0	0.182642269598791	5.34118040475056e-08	topological descriptor; not therapeutic evidence
panel30	IL2RB	10	0.00452549669526661	0.214807502467917	0.000428556370497949	topological descriptor; not therapeutic evidence
panel30	RBX1	13	0.0281942442687759	0.224191221924583	2.98762580303946e-06	topological descriptor; not therapeutic evidence
panel30	RIPK3	1	0	0.142464318449653	2.18158723218077e-10	topological descriptor; not therapeutic evidence
panel30	NID2	3	0.000290015532816195	0.16066154754873	2.00351763522276e-08	topological descriptor; not therapeutic evidence
panel30	GZMB	1	0	1	3.63807915519576e-17	topological descriptor; not therapeutic evidence
panel30	POLE2	10	0.000549812583013763	0.169787765293383	2.42030549681898e-08	topological descriptor; not therapeutic evidence
panel30	ATP6V1D	10	0.00126964884978908	0.101162250116225	2.06157818794426e-15	topological descriptor; not therapeutic evidence
panel30	PSMA3	37	0.000635142312154132	0.199376947040498	7.74047957255976e-07	topological descriptor; not therapeutic evidence
panel30	NFKBIA	1	0	0.174386920980926	1.49117887342001e-08	topological descriptor; not therapeutic evidence
panel30	PSME2	18	2.19298198324561e-06	0.171527668295759	2.97725277379621e-07	topological descriptor; not therapeutic evidence
panel30	MYBL2	1	0	0.170559648847782	5.61630148193068e-08	topological descriptor; not therapeutic evidence
panel30	CSNK2A1	4	0.00411475252989073	0.18484539585457	8.15896136578194e-06	topological descriptor; not therapeutic evidence
panel30	SNTA1	2	0.00245023385519253	0.137896070975919	3.29641568178199e-09	topological descriptor; not therapeutic evidence
panel30	STAG2	8	0	0.154413851830826	2.36270564305907e-06	topological descriptor; not therapeutic evidence
panel30	TIMP1	3	0.00428151667821089	0.15985894798707	1.72153156300827e-07	topological descriptor; not therapeutic evidence
panel30	MMP2	2	1.50413373553869e-06	0.1378436589383	6.87869607685433e-09	topological descriptor; not therapeutic evidence
panel30	ORC6	11	9.11066225969328e-05	0.172179142269346	6.61092567524408e-08	topological descriptor; not therapeutic evidence
panel30	CCL17	1	0	0.125490196078431	7.12556396501461e-11	topological descriptor; not therapeutic evidence
panel30	PARD6A	2	0.000339198281316785	0.175682221863394	1.9575652408333e-08	topological descriptor; not therapeutic evidence
panel30	PSMD7	28	0.000400143606669463	0.198648895380683	5.61748297821111e-07	topological descriptor; not therapeutic evidence
panel30	TSC2	3	2.13496039855451e-05	0.189481017067224	2.12921653897016e-07	topological descriptor; not therapeutic evidence
panel30	VPS18	2	5.6405015082701e-07	0.109182137481184	6.06952872391826e-15	topological descriptor; not therapeutic evidence
panel30	TNFRSF10A	4	0.000491282279187776	0.188333044832958	5.92709250243536e-08	topological descriptor; not therapeutic evidence
panel30	PPP2CB	5	1.58874125816275e-05	0.545454545454545	1.94030888277107e-16	topological descriptor; not therapeutic evidence
panel30	RELB	3	0.000189208062558787	0.204051012753188	1.686451279441e-05	topological descriptor; not therapeutic evidence
