stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore	gene_A	gene_B	rho	p	coexpression_fdr
9606.ENSP00000005340	9606.ENSP00000347672	DVL2	VANGL1	9606	0.973	0	0	0	0	0.25	0.9	0.68	DVL2	VANGL1	-0.344405744922318	1.6474840243147e-15	3.52878431779089e-15
9606.ENSP00000005340	9606.ENSP00000368166	DVL2	DVL1	9606	0.979	0	0	0	0	0.583	0.9	0.556	DVL2	DVL1	0.375192084425834	2.51317715520763e-18	5.88300077562662e-18
9606.ENSP00000005340	9606.ENSP00000316054	DVL2	DVL3	9606	0.982	0	0	0	0	0.611	0.9	0.58	DVL2	DVL3	0.337135421616696	6.88844771983812e-15	1.44827082364719e-14
9606.ENSP00000005340	9606.ENSP00000262320	DVL2	AXIN1	9606	0.999	0	0	0	0	0.95	0.9	0.909	DVL2	AXIN1	0.546590559677086	1.11316502148466e-40	4.34527944781696e-40
9606.ENSP00000006053	9606.ENSP00000367872	CX3CL1	GNB1	9606	0.8	0	0	0	0	0.8	0	0	CX3CL1	GNB1	0.304832905650814	2.54886282658438e-12	4.90782933262892e-12
9606.ENSP00000009530	9606.ENSP00000398890	CD74	HLA-DMB	9606	0.903	0	0	0	0	0.073	0.9	0	CD74	HLA-DMB	0.539649617135626	1.66007299242202e-39	6.32459166692817e-39
9606.ENSP00000009530	9606.ENSP00000393566	CD74	HLA-DPA1	9606	0.926	0	0	0	0	0.292	0.9	0.045	CD74	HLA-DPA1	0.95174902583426	3.27897278409281e-260	3.33045265680307e-257
9606.ENSP00000009530	9606.ENSP00000496848	CD74	HLA-DOB	9606	0.928	0	0	0	0	0.314	0.9	0	CD74	HLA-DOB	0.861831431590364	2.08040972818441e-150	1.08921245408088e-148
9606.ENSP00000009530	9606.ENSP00000364114	CD74	HLA-DRB5	9606	0.931	0	0	0	0	0.345	0.9	0	CD74	HLA-DRB5	0.850558689409313	1.68636186286341e-142	6.79697517504112e-141
9606.ENSP00000009530	9606.ENSP00000364080	CD74	HLA-DQB1	9606	0.935	0	0	0	0	0.8	0.54	0.356	CD74	HLA-DQB1	0.792653178361314	3.58967153932535e-110	5.94784564843843e-109
9606.ENSP00000009530	9606.ENSP00000363976	CD74	HLA-DMA	9606	0.937	0	0	0	0	0.405	0.9	0	CD74	HLA-DMA	0.960954076774137	8.0354604614451e-283	2.04040429767245e-279
9606.ENSP00000009530	9606.ENSP00000408146	CD74	HLA-DPB1	9606	0.943	0	0	0	0	0.457	0.9	0	CD74	HLA-DPB1	0.961116670673278	2.87218386411102e-283	9.72425716925853e-280
9606.ENSP00000009530	9606.ENSP00000339398	CD74	HLA-DQA1	9606	0.955	0	0	0	0	0.55	0.9	0.095	CD74	HLA-DQA1	0.879851494466217	1.25176257327387e-164	1.17723633858728e-162
9606.ENSP00000009530	9606.ENSP00000353099	CD74	HLA-DRB1	9606	0.971	0	0	0	0	0.918	0.54	0.291	CD74	HLA-DRB1	0.944129381882287	1.27887157926437e-244	8.11843664411762e-242
9606.ENSP00000009530	9606.ENSP00000378786	CD74	HLA-DRA	9606	0.993	0	0	0	0	0.933	0.9	0	CD74	HLA-DRA	0.957505874811083	9.07320056711393e-274	1.84312996320352e-270
9606.ENSP00000011653	9606.ENSP00000353099	CD4	HLA-DRB1	9606	0.96	0	0	0	0	0.9	0.5	0.282	CD4	HLA-DRB1	0.752697474716416	2.30645801897295e-93	2.52442824339529e-92
