network	algorithm	gene	module
panel30	walktrap	DVL2	84
panel30	walktrap	CX3CL1	81
panel30	walktrap	CD74	177
panel30	walktrap	CD4	4
panel30	walktrap	PPP5C	11
panel30	walktrap	COX15	62
panel30	walktrap	RB1CC1	5
panel30	walktrap	GABARAPL2	30
panel30	walktrap	PSMA4	110
panel30	walktrap	DCN	16
panel30	walktrap	RFC2	52
panel30	walktrap	PSMC4	110
panel30	walktrap	ICAM3	9
panel30	walktrap	CEACAM1	185
panel30	walktrap	TNFRSF1A	48
panel30	walktrap	BCL3	7
panel30	walktrap	TRIP13	13
panel30	walktrap	NGFR	11
panel30	walktrap	NDUFB4	62
panel30	walktrap	PLOD1	140
panel30	walktrap	ITGB4	47
panel30	walktrap	UQCRC1	62
panel30	walktrap	CDC6	32
panel30	walktrap	AAAS	74
panel30	walktrap	MAPK13	91
panel30	walktrap	VCL	38
panel30	walktrap	SIRT1	3
panel30	walktrap	PSMD8	110
panel30	walktrap	NDUFB7	62
panel30	walktrap	MAPK12	60
panel30	walktrap	OSM	8
panel30	walktrap	MAPK1	20
panel30	walktrap	MCM5	32
panel30	walktrap	TAB1	11
panel30	walktrap	IL2RB	73
panel30	walktrap	RBX1	11
panel30	walktrap	RIPK3	92
panel30	walktrap	NID2	46
panel30	walktrap	GZMB	193
panel30	walktrap	POLE2	32
panel30	walktrap	ATP6V1D	53
panel30	walktrap	PSMA3	110
panel30	walktrap	NFKBIA	110
panel30	walktrap	PSME2	110
panel30	walktrap	MYBL2	13
panel30	walktrap	CSNK2A1	72
panel30	walktrap	SNTA1	33
panel30	walktrap	STAG2	85
panel30	walktrap	TIMP1	25
panel30	walktrap	MMP2	25
panel30	walktrap	ORC6	32
panel30	walktrap	CCL17	10
panel30	walktrap	PARD6A	26
panel30	walktrap	PSMD7	110
panel30	walktrap	TSC2	51
panel30	walktrap	VPS18	2
panel30	walktrap	TNFRSF10A	48
panel30	walktrap	PPP2CB	21
panel30	walktrap	RELB	7
panel30	walktrap	RNASEH2A	170
panel30	walktrap	TGFB1	153
panel30	walktrap	CDC37	11
panel30	walktrap	EPOR	8
panel30	walktrap	PIK3R2	159
panel30	walktrap	LAMB1	46
panel30	walktrap	ITGB8	17
panel30	walktrap	CAV2	4
panel30	walktrap	PCOLCE	142
panel30	walktrap	PLOD3	140
panel30	walktrap	RPA3	70
panel30	walktrap	PSMA2	110
panel30	walktrap	ACTA2	101
panel30	walktrap	RPS6KB1	11
panel30	walktrap	CCL2	138
panel30	walktrap	CCL13	10
panel30	walktrap	KAT2A	1
panel30	walktrap	COL1A1	55
panel30	walktrap	NFKB1	7
panel30	walktrap	CCND1	32
panel30	walktrap	IL10RA	203
panel30	walktrap	IL23A	202
panel30	walktrap	MYL2	173
panel30	walktrap	GNB3	81
panel30	walktrap	COX6A1	62
panel30	walktrap	FBXO5	63
panel30	walktrap	MAPK14	14
panel30	walktrap	HLA-DOA	177
panel30	walktrap	LAMA4	130
panel30	walktrap	LOX	17
panel30	walktrap	SKP1	66
panel30	walktrap	NPRL2	23
panel30	walktrap	GNB4	199
panel30	walktrap	NDUFS7	62
panel30	walktrap	ORC2	32
panel30	walktrap	PPP3R1	21
panel30	walktrap	MAD2L2	1
panel30	walktrap	CTSD	59
panel30	walktrap	FZD3	44
panel30	walktrap	ACVR2A	49
panel30	walktrap	FLT3	105
panel30	walktrap	INHBA	139
panel30	walktrap	ACVR1C	71
panel30	walktrap	PLCG1	4
panel30	walktrap	EREG	4
panel30	walktrap	IRF1	11
panel30	walktrap	FOSB	166
panel30	walktrap	VASP	38
panel30	walktrap	CDC25B	51
panel30	walktrap	RRAS	20
panel30	walktrap	CANX	80
panel30	walktrap	TRAF2	11
panel30	walktrap	TICAM1	48
panel30	walktrap	HSPB1	11
panel30	walktrap	GNG11	81
panel30	walktrap	YWHAH	51
panel30	walktrap	RAC2	6
panel30	walktrap	LIF	161
panel30	walktrap	ATP1B2	172
panel30	walktrap	PARP2	129
panel30	walktrap	EGLN3	163
panel30	walktrap	MED17	15
panel30	walktrap	NDUFA2	62
panel30	walktrap	COLGALT1	124
panel30	walktrap	ACTN4	38
panel30	walktrap	NDUFA10	62
panel30	walktrap	JUND	166
panel30	walktrap	LAMA5	46
panel30	walktrap	SESN2	23
panel30	walktrap	ATP6V1E1	53
panel30	walktrap	RPA1	1
panel30	walktrap	JAG1	164
panel30	walktrap	CCNA1	32
panel30	walktrap	KRAS	20
panel30	walktrap	EIF2S1	181
panel30	walktrap	CCNB1	13
panel30	walktrap	CDK7	15
panel30	walktrap	VHL	11
panel30	walktrap	LAMTOR5	23
panel30	walktrap	NOTCH2	7
panel30	walktrap	PDGFRA	8
panel30	walktrap	APC	29
panel30	walktrap	ADAM19	175
panel30	walktrap	HRK	64
panel30	walktrap	ORC3	67
panel30	walktrap	CDK4	90
panel30	walktrap	ESPL1	13
panel30	walktrap	HTRA2	11
panel30	walktrap	MDM2	11
panel30	walktrap	LAMC1	46
panel30	walktrap	WNT10A	19
panel30	walktrap	CAB39	168
panel30	walktrap	COX5B	62
panel30	walktrap	MED4	15
panel30	walktrap	HUS1	52
panel30	walktrap	SRSF1	83
panel30	walktrap	BRIP1	31
panel30	walktrap	NDUFB5	62
panel30	walktrap	TANK	11
panel30	walktrap	STX17	2
panel30	walktrap	PSMB7	110
panel30	walktrap	CCL21	10
panel30	walktrap	RIPK1	11
panel30	walktrap	HLA-F	65
panel30	walktrap	TLR2	77
panel30	walktrap	MMP7	25
panel30	walktrap	THBS1	17
panel30	walktrap	ADAM10	60
panel30	walktrap	TOPBP1	31
panel30	walktrap	BARD1	31
panel30	walktrap	ITGAV	17
panel30	walktrap	COL8A1	207
panel30	walktrap	PSMC1	110
panel30	walktrap	LRP6	156
panel30	walktrap	LMNB1	174
panel30	walktrap	PPP2R5A	21
panel30	walktrap	TRAF5	11
panel30	walktrap	PSMA6	110
panel30	walktrap	PALB2	62
panel30	walktrap	LPIN2	169
panel30	walktrap	NDC80	13
panel30	walktrap	PSMD11	110
panel30	walktrap	TAOK1	205
panel30	walktrap	CDH1	7
panel30	walktrap	CSNK1A1	3
panel30	walktrap	PDGFRB	103
panel30	walktrap	ANAPC5	63
panel30	walktrap	GNB5	109
panel30	walktrap	LOXL1	112
panel30	walktrap	FLT4	75
panel30	walktrap	PIK3C3	148
panel30	walktrap	MCM4	32
panel30	walktrap	RBL2	61
panel30	walktrap	WIPI1	200
panel30	walktrap	WDR59	74
panel30	walktrap	SMAD7	71
panel30	walktrap	SMAD2	3
panel30	walktrap	RHEB	89
panel30	walktrap	PSMB1	110
panel30	walktrap	ELOB	11
panel30	walktrap	TELO2	23
panel30	walktrap	AXIN1	29
panel30	walktrap	CREBBP	3
panel30	walktrap	TRAF4	98
panel30	walktrap	ITGA2B	17
panel30	walktrap	SMURF2	71
panel30	walktrap	CSNK2A2	39
panel30	walktrap	CCNE1	32
panel30	walktrap	PHLPP1	150
panel30	walktrap	PIK3R3	159
panel30	walktrap	TIMP2	25
panel30	walktrap	RRAGB	23
panel30	walktrap	E2F3	61
panel30	walktrap	MAP2K2	20
panel30	walktrap	MAPK3	162
panel30	walktrap	MAP3K8	7
panel30	walktrap	PRKCQ	78
panel30	walktrap	EP300	3
panel30	walktrap	IL27RA	65
panel30	walktrap	PPP1R12C	76
panel30	walktrap	BIRC3	48
panel30	walktrap	POLD3	1
panel30	walktrap	EPAS1	163
panel30	walktrap	KAT2B	34
panel30	walktrap	NDUFS3	62
panel30	walktrap	IL7	73
panel30	walktrap	STAM2	110
panel30	walktrap	KDR	4
panel30	walktrap	PIK3CA	4
panel30	walktrap	SLC9A1	128
panel30	walktrap	ATF2	3
panel30	walktrap	LAMC2	42
panel30	walktrap	MCM6	32
panel30	walktrap	NID1	50
panel30	walktrap	CD80	96
panel30	walktrap	YWHAE	106
panel30	walktrap	RAPGEF2	36
panel30	walktrap	FNIP2	23
panel30	walktrap	FGF2	18
panel30	walktrap	WNT5A	19
panel30	walktrap	THRA	34
panel30	walktrap	PSMD3	110
panel30	walktrap	ATP6V0A1	53
panel30	walktrap	STAT3	8
panel30	walktrap	ITGA9	17
panel30	walktrap	ICAM1	9
panel30	walktrap	SDHA	176
panel30	walktrap	ZAP70	4
panel30	walktrap	MCM2	32
panel30	walktrap	VCAN	16
panel30	walktrap	FBXW11	7
panel30	walktrap	TNC	135
panel30	walktrap	CASP6	48
panel30	walktrap	EGF	4
panel30	walktrap	NBN	31
panel30	walktrap	POLA2	1
panel30	walktrap	TCIRG1	53
panel30	walktrap	DBF4	32
panel30	walktrap	CDK6	90
panel30	walktrap	MAPKAP1	187
panel30	walktrap	DAXX	43
panel30	walktrap	CACNA1C	115
panel30	walktrap	NDUFA9	62
panel30	walktrap	CDK2	32
panel30	walktrap	ITGB7	17
panel30	walktrap	ERBB3	4
panel30	walktrap	RB1	61
panel30	walktrap	VPS33A	2
panel30	walktrap	PXN	38
panel30	walktrap	BCL2A1	64
panel30	walktrap	UQCRC2	62
panel30	walktrap	NDUFB10	62
panel30	walktrap	NCOR1	3
panel30	walktrap	TP53	11
panel30	walktrap	ERBB2	4
panel30	walktrap	IFNAR1	8
panel30	walktrap	ECSIT	62
panel30	walktrap	PSMB6	110
panel30	walktrap	PSMA5	110
panel30	walktrap	ATP6V1C2	53
panel30	walktrap	RPS27A	110
panel30	walktrap	LIMD1	11
panel30	walktrap	ATP6V1A	53
panel30	walktrap	FTH1	183
panel30	walktrap	NDUFS6	62
panel30	walktrap	OSMR	8
panel30	walktrap	RASA1	20
panel30	walktrap	SCUBE3	120
panel30	walktrap	GNA12	154
panel30	walktrap	EGFR	4
panel30	walktrap	CDCA5	13
panel30	walktrap	NDUFB11	62
panel30	walktrap	ATP6V1B2	53
panel30	walktrap	TNFRSF10B	48
panel30	walktrap	NDUFB9	62
panel30	walktrap	CDKN2B	14
panel30	walktrap	NRBF2	5
panel30	walktrap	PAK1	17
panel30	walktrap	ATM	31
panel30	walktrap	LAMTOR1	23
panel30	walktrap	MYL9	218
panel30	walktrap	CTF1	161
panel30	walktrap	NDUFC2	62
panel30	walktrap	SLC25A4	145
panel30	walktrap	MED13L	15
panel30	walktrap	TCF7L1	3
panel30	walktrap	ATG10	45
panel30	walktrap	FLT1	18
panel30	walktrap	NIPBL	85
panel30	walktrap	ITGB6	17
panel30	walktrap	ATG3	37
panel30	walktrap	LY96	77
panel30	walktrap	APP	17
panel30	walktrap	FLCN	23
panel30	walktrap	CASP10	48
panel30	walktrap	CSF1R	104
panel30	walktrap	GDF6	216
panel30	walktrap	BUB1B	13
panel30	walktrap	ZFYVE9	108
panel30	walktrap	PPARG	214
panel30	walktrap	KIT	54
panel30	walktrap	CCNB2	13
panel30	walktrap	WIPI2	171
panel30	walktrap	SMAD6	71
panel30	walktrap	WNT4	44
panel30	walktrap	ACTC1	101
panel30	walktrap	RFX5	212
panel30	walktrap	PSMB4	110
panel30	walktrap	ATP6V0D1	53
panel30	walktrap	TNFRSF13C	213
panel30	walktrap	MED27	15
panel30	walktrap	FGFR4	211
panel30	walktrap	COX7A1	62
panel30	walktrap	BAX	64
panel30	walktrap	STAT5B	8
panel30	walktrap	PSME3	110
panel30	walktrap	ITGA5	102
panel30	walktrap	WDR24	59
panel30	walktrap	VCAM1	17
panel30	walktrap	NCSTN	7
panel30	walktrap	CAPN2	41
panel30	walktrap	INHBB	125
panel30	walktrap	PRKCI	26
panel30	walktrap	WDFY3	37
panel30	walktrap	CXCL3	10
panel30	walktrap	CXCL5	10
panel30	walktrap	ITGB5	17
panel30	walktrap	RUBCN	5
panel30	walktrap	MAD2L1	13
panel30	walktrap	IL15	73
