network	gene	degree	betweenness	closeness	eigenvector	interpretation
robust_leading_edge	RALA	1	0	0.174225122349103	0	topological descriptor; not therapeutic evidence
robust_leading_edge	DVL2	3	8.15290944726535e-06	0.666666666666667	0	topological descriptor; not therapeutic evidence
robust_leading_edge	CX3CL1	1	0	0.143240343347639	0	topological descriptor; not therapeutic evidence
robust_leading_edge	CD74	10	1.4859511829719e-05	0.121143375680581	0	topological descriptor; not therapeutic evidence
robust_leading_edge	CD4	2	0	0.120650700406688	0	topological descriptor; not therapeutic evidence
robust_leading_edge	ERCC1	1	0	1	0	topological descriptor; not therapeutic evidence
robust_leading_edge	RTN4R	1	0	1	0	topological descriptor; not therapeutic evidence
robust_leading_edge	PSMA4	19	3.14010542650735e-06	1	0	topological descriptor; not therapeutic evidence
robust_leading_edge	LCP2	3	0.00190237994854678	0.186062717770035	0	topological descriptor; not therapeutic evidence
robust_leading_edge	RFC2	3	0.000156648787192187	0.132802785376772	0	topological descriptor; not therapeutic evidence
robust_leading_edge	PKP2	2	0	1	0	topological descriptor; not therapeutic evidence
robust_leading_edge	HDAC7	1	0	0.184839044652129	0	topological descriptor; not therapeutic evidence
robust_leading_edge	PSMC4	13	0	0.76	0	topological descriptor; not therapeutic evidence
robust_leading_edge	TNFRSF1A	9	0.016458288915787	0.182439357704134	0	topological descriptor; not therapeutic evidence
robust_leading_edge	BCL3	2	7.41957557626798e-05	0.181139755766621	0	topological descriptor; not therapeutic evidence
robust_leading_edge	VASH1	1	0	0.117388437019125	0	topological descriptor; not therapeutic evidence
robust_leading_edge	PLOD1	1	0	0.117802779616148	0	topological descriptor; not therapeutic evidence
robust_leading_edge	ITGB4	3	0.00112968690714007	0.18052738336714	0	topological descriptor; not therapeutic evidence
robust_leading_edge	GNPTG	1	0	1	0	topological descriptor; not therapeutic evidence
robust_leading_edge	EFNB1	2	1.63058188945307e-06	1	0	topological descriptor; not therapeutic evidence
robust_leading_edge	DLD	4	3.26116377890614e-06	0.666666666666667	0	topological descriptor; not therapeutic evidence
robust_leading_edge	TEKT2	1	0	1	0	topological descriptor; not therapeutic evidence
robust_leading_edge	CDC6	11	0.00418239375705385	0.159688995215311	0	topological descriptor; not therapeutic evidence
robust_leading_edge	DHPS	1	0	0.145029875067898	0	topological descriptor; not therapeutic evidence
robust_leading_edge	MAPK13	1	0	0.666666666666667	0	topological descriptor; not therapeutic evidence
robust_leading_edge	VCL	9	0.0123316919888649	0.215844785772029	0	topological descriptor; not therapeutic evidence
robust_leading_edge	MAPK1	6	0.00463356884461137	0.204441041347626	0	topological descriptor; not therapeutic evidence
