stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore	gene_A	gene_B	rho	p	coexpression_fdr
9606.ENSP00000005257	9606.ENSP00000358866	RALA	FLNA	9606	0.881	0	0	0	0	0.292	0	0.839	RALA	FLNA	0.413561169781574	2.7699042416261e-22	5.1537129674095e-22
9606.ENSP00000005340	9606.ENSP00000368166	DVL2	DVL1	9606	0.979	0	0	0	0	0.583	0.9	0.556	DVL2	DVL1	0.375192084425834	2.51317715520763e-18	4.35565715251641e-18
9606.ENSP00000005340	9606.ENSP00000316054	DVL2	DVL3	9606	0.982	0	0	0	0	0.611	0.9	0.58	DVL2	DVL3	0.337135421616696	6.88844771983812e-15	1.11622860392892e-14
9606.ENSP00000005340	9606.ENSP00000262320	DVL2	AXIN1	9606	0.999	0	0	0	0	0.95	0.9	0.909	DVL2	AXIN1	0.546590559677086	1.11316502148466e-40	2.73108721808483e-40
9606.ENSP00000006053	9606.ENSP00000367872	CX3CL1	GNB1	9606	0.8	0	0	0	0	0.8	0	0	CX3CL1	GNB1	0.304832905650814	2.54886282658438e-12	3.9193608023375e-12
9606.ENSP00000009530	9606.ENSP00000398890	CD74	HLA-DMB	9606	0.903	0	0	0	0	0.073	0.9	0	CD74	HLA-DMB	0.539649617135626	1.66007299242202e-39	4.00110017563745e-39
9606.ENSP00000009530	9606.ENSP00000393566	CD74	HLA-DPA1	9606	0.926	0	0	0	0	0.292	0.9	0.045	CD74	HLA-DPA1	0.95174902583426	3.27897278409281e-260	1.50802939224777e-257
9606.ENSP00000009530	9606.ENSP00000496848	CD74	HLA-DOB	9606	0.928	0	0	0	0	0.314	0.9	0	CD74	HLA-DOB	0.861831431590364	2.08040972818441e-150	6.70368969100952e-149
9606.ENSP00000009530	9606.ENSP00000364114	CD74	HLA-DRB5	9606	0.931	0	0	0	0	0.345	0.9	0	CD74	HLA-DRB5	0.850558689409313	1.68636186286341e-142	4.04327235271373e-141
9606.ENSP00000009530	9606.ENSP00000364080	CD74	HLA-DQB1	9606	0.935	0	0	0	0	0.8	0.54	0.356	CD74	HLA-DQB1	0.792653178361314	3.58967153932535e-110	3.12567096685834e-109
9606.ENSP00000009530	9606.ENSP00000363976	CD74	HLA-DMA	9606	0.937	0	0	0	0	0.405	0.9	0	CD74	HLA-DMA	0.960954076774137	8.0354604614451e-283	6.77523241240846e-280
9606.ENSP00000009530	9606.ENSP00000408146	CD74	HLA-DPB1	9606	0.943	0	0	0	0	0.457	0.9	0	CD74	HLA-DPB1	0.961116670673278	2.87218386411102e-283	2.90607563370752e-280
9606.ENSP00000009530	9606.ENSP00000339398	CD74	HLA-DQA1	9606	0.955	0	0	0	0	0.55	0.9	0.095	CD74	HLA-DQA1	0.879851494466217	1.25176257327387e-164	7.27892742320976e-163
9606.ENSP00000009530	9606.ENSP00000353099	CD74	HLA-DRB1	9606	0.971	0	0	0	0	0.918	0.54	0.291	CD74	HLA-DRB1	0.944129381882287	1.27887157926437e-244	3.59433962194358e-242
9606.ENSP00000009530	9606.ENSP00000378786	CD74	HLA-DRA	9606	0.993	0	0	0	0	0.933	0.9	0	CD74	HLA-DRA	0.957505874811083	9.07320056711393e-274	6.55733166700419e-271
9606.ENSP00000011653	9606.ENSP00000353099	CD4	HLA-DRB1	9606	0.96	0	0	0	0	0.9	0.5	0.282	CD4	HLA-DRB1	0.752697474716416	2.30645801897295e-93	1.34273545661498e-92
9606.ENSP00000011653	9606.ENSP00000378786	CD4	HLA-DRA	9606	0.989	0	0	0	0	0.9	0.9	0	CD4	HLA-DRA	0.787555463620896	7.93715394671432e-108	6.4660324986196e-107
9606.ENSP00000013807	9606.ENSP00000307853	ERCC1	MUS81	9606	0.978	0	0	0	0	0.77	0.5	0.831	ERCC1	MUS81	0.378008732550274	1.33980871437895e-18	2.33695613220093e-18
9606.ENSP00000043402	9606.ENSP00000172229	RTN4R	NGFR	9606	0.989	0	0	0	0	0.457	0	0.981	RTN4R	NGFR	0.353089097729649	2.83913710456997e-16	4.73876430617601e-16
9606.ENSP00000044462	9606.ENSP00000325919	PSMA4	PSMG2	9606	0.786	0	0	0	0	0.786	0	0	PSMA4	PSMG2	0.597079273144706	4.19477975884282e-50	1.18159191536669e-49
