network	algorithm	gene	module
robust_leading_edge	walktrap	RALA	13
robust_leading_edge	walktrap	DVL2	21
robust_leading_edge	walktrap	CX3CL1	114
robust_leading_edge	walktrap	CD74	7
robust_leading_edge	walktrap	CD4	7
robust_leading_edge	walktrap	ERCC1	235
robust_leading_edge	walktrap	RTN4R	223
robust_leading_edge	walktrap	PSMA4	145
robust_leading_edge	walktrap	LCP2	50
robust_leading_edge	walktrap	RFC2	12
robust_leading_edge	walktrap	PKP2	188
robust_leading_edge	walktrap	HDAC7	23
robust_leading_edge	walktrap	PSMC4	145
robust_leading_edge	walktrap	TNFRSF1A	44
robust_leading_edge	walktrap	BCL3	23
robust_leading_edge	walktrap	VASH1	43
robust_leading_edge	walktrap	PLOD1	60
robust_leading_edge	walktrap	ITGB4	41
robust_leading_edge	walktrap	GNPTG	219
robust_leading_edge	walktrap	EFNB1	134
robust_leading_edge	walktrap	DLD	97
robust_leading_edge	walktrap	TEKT2	210
robust_leading_edge	walktrap	CDC6	12
robust_leading_edge	walktrap	DHPS	76
robust_leading_edge	walktrap	MAPK13	128
robust_leading_edge	walktrap	VCL	4
robust_leading_edge	walktrap	MAPK1	69
robust_leading_edge	walktrap	LGALS1	78
robust_leading_edge	walktrap	MCM5	12
robust_leading_edge	walktrap	MYH9	5
robust_leading_edge	walktrap	POLE2	12
robust_leading_edge	walktrap	PSMA3	145
robust_leading_edge	walktrap	PSME2	145
robust_leading_edge	walktrap	PROCR	132
robust_leading_edge	walktrap	CHMP4B	75
robust_leading_edge	walktrap	TIMP1	71
robust_leading_edge	walktrap	ORC6	12
robust_leading_edge	walktrap	CSK	4
robust_leading_edge	walktrap	RIPK2	20
robust_leading_edge	walktrap	TNFRSF10A	44
robust_leading_edge	walktrap	RELB	23
robust_leading_edge	walktrap	POLR2I	25
robust_leading_edge	walktrap	TGFB1	93
robust_leading_edge	walktrap	PIK3R2	4
robust_leading_edge	walktrap	GSK3A	21
robust_leading_edge	walktrap	PLOD3	60
robust_leading_edge	walktrap	FIS1	80
robust_leading_edge	walktrap	PSMA2	145
robust_leading_edge	walktrap	CHMP5	162
robust_leading_edge	walktrap	PFN1	4
robust_leading_edge	walktrap	KAT2A	20
robust_leading_edge	walktrap	COL1A1	13
robust_leading_edge	walktrap	SPI1	45
robust_leading_edge	walktrap	CCND1	12
robust_leading_edge	walktrap	PRPF19	53
robust_leading_edge	walktrap	YBX3	150
robust_leading_edge	walktrap	SELPLG	151
robust_leading_edge	walktrap	ARPC3	56
robust_leading_edge	walktrap	RAD51AP1	62
robust_leading_edge	walktrap	ARHGDIB	1
robust_leading_edge	walktrap	RSPH4A	148
robust_leading_edge	walktrap	HLA-DOA	7
robust_leading_edge	walktrap	CAP2	86
robust_leading_edge	walktrap	LAMA4	236
robust_leading_edge	walktrap	TFPI	13
robust_leading_edge	walktrap	TTL	43
robust_leading_edge	walktrap	PROC	132
robust_leading_edge	walktrap	MAD2L2	12
robust_leading_edge	walktrap	SYF2	53
robust_leading_edge	walktrap	CTSD	131
robust_leading_edge	walktrap	CLTA	103
robust_leading_edge	walktrap	TNFAIP6	13
robust_leading_edge	walktrap	UNC5CL	52
robust_leading_edge	walktrap	TREM1	49
robust_leading_edge	walktrap	SOX4	121
robust_leading_edge	walktrap	NUP85	121
robust_leading_edge	walktrap	C3	6
robust_leading_edge	walktrap	VASP	4
robust_leading_edge	walktrap	CDC25B	36
robust_leading_edge	walktrap	PYCARD	16
robust_leading_edge	walktrap	TUBA4A	43
robust_leading_edge	walktrap	YWHAH	36
robust_leading_edge	walktrap	RAC2	1
robust_leading_edge	walktrap	DLL4	42
robust_leading_edge	walktrap	RRM2B	214
robust_leading_edge	walktrap	APOE	117
robust_leading_edge	walktrap	ACTN4	4
robust_leading_edge	walktrap	LAMA5	63
robust_leading_edge	walktrap	SESN2	34
robust_leading_edge	walktrap	GINS2	12
robust_leading_edge	walktrap	RARA	45
robust_leading_edge	walktrap	LGALS3	13
robust_leading_edge	walktrap	TRIM21	39
robust_leading_edge	walktrap	JAG1	42
robust_leading_edge	walktrap	CCNA1	12
robust_leading_edge	walktrap	CDK7	25
robust_leading_edge	walktrap	IRAK2	11
robust_leading_edge	walktrap	DDB2	2
robust_leading_edge	walktrap	HRK	66
robust_leading_edge	walktrap	CDK4	82
robust_leading_edge	walktrap	ESPL1	18
robust_leading_edge	walktrap	MDM2	23
robust_leading_edge	walktrap	FHOD1	28
robust_leading_edge	walktrap	LAMC1	13
robust_leading_edge	walktrap	PLXNC1	197
robust_leading_edge	walktrap	BRIP1	62
robust_leading_edge	walktrap	TANK	39
robust_leading_edge	walktrap	HLA-F	7
robust_leading_edge	walktrap	TLR2	11
robust_leading_edge	walktrap	THBS1	13
robust_leading_edge	walktrap	KIF23	64
robust_leading_edge	walktrap	ITGAV	13
robust_leading_edge	walktrap	COL8A1	181
robust_leading_edge	walktrap	HEXB	189
robust_leading_edge	walktrap	PSMA6	145
robust_leading_edge	walktrap	NDC80	18
robust_leading_edge	walktrap	CYBA	96
robust_leading_edge	walktrap	ALDH2	169
robust_leading_edge	walktrap	LOXL1	167
robust_leading_edge	walktrap	MCM4	12
robust_leading_edge	walktrap	PSMB1	145
robust_leading_edge	walktrap	ELOB	12
robust_leading_edge	walktrap	TELO2	109
robust_leading_edge	walktrap	AXIN1	21
robust_leading_edge	walktrap	SMURF2	51
robust_leading_edge	walktrap	CSNK2A2	22
robust_leading_edge	walktrap	TYROBP	49
robust_leading_edge	walktrap	CCNE1	12
robust_leading_edge	walktrap	ARPC1A	56
